model,display_name,threshold,dataset_origin,n_total,n_violence,n_non_violence,tp,tn,fp,fn,fp_rate,fn_rate,accuracy,precision,recall,f1
augmente,SIRCH augment?,0.50,RLVS,295,145,150,143,140,10,2,0.06666666666666667,0.013793103448275862,0.9593220338983051,0.934640522875817,0.9862068965517241,0.959731543624161
augmente,SIRCH augment?,0.50,RWF-2000,304,154,150,145,123,27,9,0.18,0.05844155844155844,0.881578947368421,0.8430232558139535,0.9415584415584416,0.8895705521472392
augmente,SIRCH augment?,0.50,GLOBAL,599,299,300,288,263,37,11,0.12333333333333334,0.03678929765886288,0.9198664440734557,0.8861538461538462,0.9632107023411371,0.9230769230769232
original,SIRCH original (epoch 4),0.50,RLVS,295,145,150,142,133,17,3,0.11333333333333333,0.020689655172413793,0.9322033898305084,0.8930817610062893,0.9793103448275862,0.9342105263157895
original,SIRCH original (epoch 4),0.50,RWF-2000,304,154,150,136,109,41,18,0.2733333333333333,0.11688311688311688,0.805921052631579,0.768361581920904,0.8831168831168831,0.8217522658610273
original,SIRCH original (epoch 4),0.50,GLOBAL,599,299,300,278,242,58,21,0.19333333333333333,0.07023411371237458,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024
augmente,SIRCH augment?,0.65,RLVS,295,145,150,143,142,8,2,0.05333333333333334,0.013793103448275862,0.9661016949152542,0.9470198675496688,0.9862068965517241,0.9662162162162162
augmente,SIRCH augment?,0.65,RWF-2000,304,154,150,131,133,17,23,0.11333333333333333,0.14935064935064934,0.868421052631579,0.8851351351351351,0.8506493506493507,0.8675496688741722
augmente,SIRCH augment?,0.65,GLOBAL,599,299,300,274,275,25,25,0.08333333333333333,0.08361204013377926,0.9165275459098498,0.9163879598662207,0.9163879598662207,0.9163879598662207
original,SIRCH original (epoch 4),0.65,RLVS,295,145,150,140,137,13,5,0.08666666666666667,0.034482758620689655,0.9389830508474576,0.9150326797385621,0.9655172413793104,0.9395973154362417
original,SIRCH original (epoch 4),0.65,RWF-2000,304,154,150,122,124,26,32,0.17333333333333334,0.2077922077922078,0.8092105263157895,0.8243243243243243,0.7922077922077922,0.8079470198675496
original,SIRCH original (epoch 4),0.65,GLOBAL,599,299,300,262,261,39,37,0.13,0.12374581939799331,0.8731218697829716,0.8704318936877077,0.8762541806020067,0.8733333333333333
augmente,SIRCH augment?,0.70,RLVS,295,145,150,142,143,7,3,0.04666666666666667,0.020689655172413793,0.9661016949152542,0.9530201342281879,0.9793103448275862,0.9659863945578231
augmente,SIRCH augment?,0.70,RWF-2000,304,154,150,128,137,13,26,0.08666666666666667,0.16883116883116883,0.8717105263157895,0.9078014184397163,0.8311688311688312,0.8677966101694915
augmente,SIRCH augment?,0.70,GLOBAL,599,299,300,270,280,20,29,0.06666666666666667,0.09698996655518395,0.9181969949916527,0.9310344827586207,0.903010033444816,0.9168081494057725
original,SIRCH original (epoch 4),0.70,RLVS,295,145,150,140,137,13,5,0.08666666666666667,0.034482758620689655,0.9389830508474576,0.9150326797385621,0.9655172413793104,0.9395973154362417
original,SIRCH original (epoch 4),0.70,RWF-2000,304,154,150,117,125,25,37,0.16666666666666666,0.24025974025974026,0.7960526315789473,0.823943661971831,0.7597402597402597,0.7905405405405405
original,SIRCH original (epoch 4),0.70,GLOBAL,599,299,300,257,262,38,42,0.12666666666666668,0.14046822742474915,0.8664440734557596,0.8711864406779661,0.8595317725752508,0.8653198653198654
