row_type,video_index,video,dataset_origin,k_window,threshold,n_frames_param,assumed_fps,source_fps,video_frames,sequence_scores_count,detected,alert_sequence_index,alert_frame_index,delay_seconds_at_25fps,delay_seconds_source_fps,alert_mean_score,max_sequence_score,mean_sequence_score,method_note
detail,1,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0723.avi,RWF-2000,3,0.5,20,25.0,30.0,150,131,1,2,21,0.84,0.7,0.9815671642621359,0.9930968284606934,0.9690621299598053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,1,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0723.avi,RWF-2000,5,0.5,20,25.0,30.0,150,131,1,4,23,0.92,0.7666666666666667,0.9814576029777526,0.9930968284606934,0.9690621299598053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,1,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0723.avi,RWF-2000,7,0.5,20,25.0,30.0,150,131,1,6,25,1.0,0.8333333333333334,0.9807657429150173,0.9930968284606934,0.9690621299598053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,2,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_859.mp4,RLVS,3,0.5,20,25.0,30.0,117,98,1,2,21,0.84,0.7,0.9988453388214111,0.9990354180335999,0.9971942512356505,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,2,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_859.mp4,RLVS,5,0.5,20,25.0,30.0,117,98,1,4,23,0.92,0.7666666666666667,0.9988671660423278,0.9990354180335999,0.9971942512356505,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,2,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_859.mp4,RLVS,7,0.5,20,25.0,30.0,117,98,1,6,25,1.0,0.8333333333333334,0.998849596296038,0.9990354180335999,0.9971942512356505,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,3,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_174.mp4,RLVS,3,0.5,20,25.0,30.0,126,107,1,2,21,0.84,0.7,0.9887032310167948,0.9982796907424927,0.99631227343996,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,3,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_174.mp4,RLVS,5,0.5,20,25.0,30.0,126,107,1,4,23,0.92,0.7666666666666667,0.989945650100708,0.9982796907424927,0.99631227343996,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,3,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_174.mp4,RLVS,7,0.5,20,25.0,30.0,126,107,1,6,25,1.0,0.8333333333333334,0.9903957843780518,0.9982796907424927,0.99631227343996,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,4,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0492.avi,RWF-2000,3,0.5,20,25.0,30.0,150,131,1,2,21,0.84,0.7,0.9101061820983887,0.9749792218208313,0.8621624799175117,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,4,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0492.avi,RWF-2000,5,0.5,20,25.0,30.0,150,131,1,4,23,0.92,0.7666666666666667,0.9091110944747924,0.9749792218208313,0.8621624799175117,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,4,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0492.avi,RWF-2000,7,0.5,20,25.0,30.0,150,131,1,6,25,1.0,0.8333333333333334,0.9105059078761509,0.9749792218208313,0.8621624799175117,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,5,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0444.avi,RWF-2000,3,0.5,20,25.0,30.0,150,131,1,8,27,1.08,0.9,0.5163302421569824,0.6850625872612,0.3842650258359108,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,5,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0444.avi,RWF-2000,5,0.5,20,25.0,30.0,150,131,1,9,28,1.12,0.9333333333333333,0.5162671446800232,0.6850625872612,0.3842650258359108,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,5,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0444.avi,RWF-2000,7,0.5,20,25.0,30.0,150,131,1,10,29,1.16,0.9666666666666667,0.516281749520983,0.6850625872612,0.3842650258359108,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,6,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0250.avi,RWF-2000,3,0.5,20,25.0,30.0,150,131,1,2,21,0.84,0.7,0.6399648189544678,0.8368333578109741,0.6964479795735301,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,6,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0250.avi,RWF-2000,5,0.5,20,25.0,30.0,150,131,1,4,23,0.92,0.7666666666666667,0.6383090496063233,0.8368333578109741,0.6964479795735301,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
