evaluation,model,threshold,group,n,accuracy,precision,recall,f1,tn,fp,fn,tp,false_positives,false_positive_rate,ms_per_frame
test_principal_599,original_sirch_model_h5,0.5,principal,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,242,58,21,278,,,67.1530691928577
test_principal_599,original_sirch_model_h5,0.65,principal,599,0.8731218697829716,0.8704318936877077,0.8762541806020067,0.8733333333333333,261,39,37,262,,,67.1530691928577
test_principal_599,original_sirch_model_h5,0.7,principal,599,0.8664440734557596,0.8711864406779661,0.8595317725752508,0.8653198653198653,262,38,42,257,,,67.1530691928577
faux_positifs_30_non_violentes,original_sirch_model_h5,0.5,test_sport,15,,,,,,,,,3,0.2,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.5,test_danse,10,,,,,,,,,4,0.4,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.5,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.5,global_30,30,,,,,,,,,7,0.23333333333333334,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.65,test_sport,15,,,,,,,,,2,0.13333333333333333,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.65,test_danse,10,,,,,,,,,3,0.3,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.65,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.65,global_30,30,,,,,,,,,5,0.16666666666666666,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.7,test_sport,15,,,,,,,,,1,0.06666666666666667,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.7,test_danse,10,,,,,,,,,2,0.2,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.7,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,original_sirch_model_h5,0.7,global_30,30,,,,,,,,,3,0.1,
test_principal_599,augmente_sirch_model_augmente_h5,0.5,principal,599,0.9198664440734557,0.8861538461538462,0.9632107023411371,0.9230769230769231,263,37,11,288,,,76.67981372253723
test_principal_599,augmente_sirch_model_augmente_h5,0.65,principal,599,0.9165275459098498,0.9163879598662207,0.9163879598662207,0.9163879598662207,275,25,25,274,,,76.67981372253723
test_principal_599,augmente_sirch_model_augmente_h5,0.7,principal,599,0.9181969949916527,0.9310344827586207,0.903010033444816,0.9168081494057725,280,20,29,270,,,76.67981372253723
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.5,test_sport,15,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.5,test_danse,10,,,,,,,,,3,0.3,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.5,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.5,global_30,30,,,,,,,,,3,0.1,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.65,test_sport,15,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.65,test_danse,10,,,,,,,,,1,0.1,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.65,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.65,global_30,30,,,,,,,,,1,0.03333333333333333,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.7,test_sport,15,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.7,test_danse,10,,,,,,,,,1,0.1,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.7,test_calme,5,,,,,,,,,0,0.0,
faux_positifs_30_non_violentes,augmente_sirch_model_augmente_h5,0.7,global_30,30,,,,,,,,,1,0.03333333333333333,
