model,group,video,score,prediction_theta_0.50,is_false_positive_theta_0.50,k_mean_theta_0.50,prediction_theta_0.65,is_false_positive_theta_0.65,k_mean_theta_0.65,prediction_theta_0.70,is_false_positive_theta_0.70,k_mean_theta_0.70
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_01_WwMLOcTVUmc.mp4,0.007902130484580994,non_violence,0,0.007902130484580994,non_violence,0,0.007902130484580994,non_violence,0,0.007902130484580994
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_02_Czaz0AiIfkQ.mp4,0.31988364458084106,non_violence,0,0.31988364458084106,non_violence,0,0.31988364458084106,non_violence,0,0.31988364458084106
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_03_TWLLv2ikavc.mp4,0.014676399528980255,non_violence,0,0.014676399528980255,non_violence,0,0.014676399528980255,non_violence,0,0.014676399528980255
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_04_N8ir6EaDceI.mp4,0.08851861953735352,non_violence,0,0.08851861953735352,non_violence,0,0.08851861953735352,non_violence,0,0.08851861953735352
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_05_wtpobZDZv3A.mp4,0.5788490772247314,violence,1,0.5788490772247314,non_violence,0,0.5788490772247314,non_violence,0,0.5788490772247314
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_01_DBeTvfwjAug.mp4,0.11217598617076874,non_violence,0,0.11217598617076874,non_violence,0,0.11217598617076874,non_violence,0,0.11217598617076874
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_02_ewfo7pWZ3DU.mp4,0.07236329466104507,non_violence,0,0.07236329466104507,non_violence,0,0.07236329466104507,non_violence,0,0.07236329466104507
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_03_CycVhzGQazQ.mp4,0.3021025061607361,non_violence,0,0.3021025061607361,non_violence,0,0.3021025061607361,non_violence,0,0.3021025061607361
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_04_UsCSozlLlhs.mp4,0.019541239365935326,non_violence,0,0.019541239365935326,non_violence,0,0.019541239365935326,non_violence,0,0.019541239365935326
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_05_37dgPBSUosE.mp4,0.013988274149596691,non_violence,0,0.013988274149596691,non_violence,0,0.013988274149596691,non_violence,0,0.013988274149596691
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_01_eMr6OOmLlJs.mp4,0.6700535416603088,violence,1,0.6700535416603088,violence,1,0.6700535416603088,non_violence,0,0.6700535416603088
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_02_O1x9Nrp5TTU.mp4,0.484620064496994,non_violence,0,0.484620064496994,non_violence,0,0.484620064496994,non_violence,0,0.484620064496994
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_03_wnVJcY_ECH4.mp4,0.021743420511484146,non_violence,0,0.021743420511484146,non_violence,0,0.021743420511484146,non_violence,0,0.021743420511484146
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_04_7I2Ge845PXg.mp4,0.3516542315483093,non_violence,0,0.3516542315483093,non_violence,0,0.3516542315483093,non_violence,0,0.3516542315483093
original_sirch_model_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_05_qh7UrU9wVMo.mp4,0.8888034820556641,violence,1,0.8888034820556641,violence,1,0.8888034820556641,violence,1,0.8888034820556641
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_01_CoPUfvwcHmE.mp4,0.19456429779529572,non_violence,0,0.19456429779529572,non_violence,0,0.19456429779529572,non_violence,0,0.19456429779529572
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_02_bHAgWyVXytg.mp4,0.2732190787792206,non_violence,0,0.2732190787792206,non_violence,0,0.2732190787792206,non_violence,0,0.2732190787792206
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_03_LN9Y1JnGCUU.mp4,0.5920050144195557,violence,1,0.5920050144195557,non_violence,0,0.5920050144195557,non_violence,0,0.5920050144195557
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_04_ZN8iSru6_7k.mp4,0.6818636655807495,violence,1,0.6818636655807495,violence,1,0.6818636655807495,non_violence,0,0.6818636655807495
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_05_FHTD9GHVhx8.mp4,0.0325564444065094,non_violence,0,0.0325564444065094,non_violence,0,0.0325564444065094,non_violence,0,0.0325564444065094
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_01_gqE3cXWHQRo.mp4,0.971493124961853,violence,1,0.971493124961853,violence,1,0.971493124961853,violence,1,0.971493124961853
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_02_FYzyvVwYvWk.mp4,0.012950410135090351,non_violence,0,0.012950410135090351,non_violence,0,0.012950410135090351,non_violence,0,0.012950410135090351
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_03_4JltE1OcI8U.mp4,0.8089985847473145,violence,1,0.8089985847473145,violence,1,0.8089985847473145,violence,1,0.8089985847473145
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_04_Gf6YmTG-s3k.mp4,0.06280127167701721,non_violence,0,0.06280127167701721,non_violence,0,0.06280127167701721,non_violence,0,0.06280127167701721
original_sirch_model_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_05_T-1uuAbQNRc.mp4,0.008615992031991482,non_violence,0,0.008615992031991482,non_violence,0,0.008615992031991482,non_violence,0,0.008615992031991482
original_sirch_model_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_01_A_ji2AxKSqU.mp4,0.0004615227226167917,non_violence,0,0.0004615227226167917,non_violence,0,0.0004615227226167917,non_violence,0,0.0004615227226167917
original_sirch_model_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_02_QOtoI9I9diw.mp4,0.1523861587047577,non_violence,0,0.1523861587047577,non_violence,0,0.1523861587047577,non_violence,0,0.1523861587047577
original_sirch_model_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_03_TGC4asdjd8Q.mp4,0.06802163273096085,non_violence,0,0.06802163273096085,non_violence,0,0.06802163273096085,non_violence,0,0.06802163273096085
original_sirch_model_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_04_xnNg0G6hT_A.mp4,0.0007772882818244398,non_violence,0,0.0007772882818244398,non_violence,0,0.0007772882818244398,non_violence,0,0.0007772882818244398
original_sirch_model_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_05_H0ZPRUJ5eYU.mp4,0.07635023444890976,non_violence,0,0.07635023444890976,non_violence,0,0.07635023444890976,non_violence,0,0.07635023444890976
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_01_WwMLOcTVUmc.mp4,0.0761362835764885,non_violence,0,0.0761362835764885,non_violence,0,0.0761362835764885,non_violence,0,0.0761362835764885
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_02_Czaz0AiIfkQ.mp4,0.03363050892949104,non_violence,0,0.03363050892949104,non_violence,0,0.03363050892949104,non_violence,0,0.03363050892949104
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_03_TWLLv2ikavc.mp4,0.0028465345967561007,non_violence,0,0.0028465345967561007,non_violence,0,0.0028465345967561007,non_violence,0,0.0028465345967561007
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_04_N8ir6EaDceI.mp4,0.026361001655459404,non_violence,0,0.026361001655459404,non_violence,0,0.026361001655459404,non_violence,0,0.026361001655459404
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\basketball_05_wtpobZDZv3A.mp4,0.22505143284797668,non_violence,0,0.22505143284797668,non_violence,0,0.22505143284797668,non_violence,0,0.22505143284797668
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_01_DBeTvfwjAug.mp4,0.03212228789925575,non_violence,0,0.03212228789925575,non_violence,0,0.03212228789925575,non_violence,0,0.03212228789925575
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_02_ewfo7pWZ3DU.mp4,0.01780703291296959,non_violence,0,0.01780703291296959,non_violence,0,0.01780703291296959,non_violence,0,0.01780703291296959
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_03_CycVhzGQazQ.mp4,0.44328513741493225,non_violence,0,0.44328513741493225,non_violence,0,0.44328513741493225,non_violence,0,0.44328513741493225
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_04_UsCSozlLlhs.mp4,0.03968014940619469,non_violence,0,0.03968014940619469,non_violence,0,0.03968014940619469,non_violence,0,0.03968014940619469
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\boxe_05_37dgPBSUosE.mp4,0.015062161721289158,non_violence,0,0.015062161721289158,non_violence,0,0.015062161721289158,non_violence,0,0.015062161721289158
