type,model,threshold,group,video,score,k_window_mean,prediction,is_false_positive,n,false_positives,false_positive_rate,ms_per_frame
summary,original_sirch_model_h5,0.50,test_sport_v2,,,,,,15,3,0.200000,69.4129
summary,original_sirch_model_h5,0.50,test_danse_v2,,,,,,10,8,0.800000,59.9448
summary,original_sirch_model_h5,0.50,test_calme_v2,,,,,,5,3,0.600000,55.8032
summary,original_sirch_model_h5,0.50,global_v2,,,,,,30,14,0.466667,63.9886
summary,original_sirch_model_h5,0.65,test_sport_v2,,,,,,15,2,0.133333,69.4129
summary,original_sirch_model_h5,0.65,test_danse_v2,,,,,,10,7,0.700000,59.9448
summary,original_sirch_model_h5,0.65,test_calme_v2,,,,,,5,3,0.600000,55.8032
summary,original_sirch_model_h5,0.65,global_v2,,,,,,30,12,0.400000,63.9886
summary,original_sirch_model_h5,0.70,test_sport_v2,,,,,,15,2,0.133333,69.4129
summary,original_sirch_model_h5,0.70,test_danse_v2,,,,,,10,5,0.500000,59.9448
summary,original_sirch_model_h5,0.70,test_calme_v2,,,,,,5,3,0.600000,55.8032
summary,original_sirch_model_h5,0.70,global_v2,,,,,,30,10,0.333333,63.9886
summary,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,,,,,,15,4,0.266667,63.7194
summary,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,,,,,,10,7,0.700000,52.9613
summary,augmente_sirch_model_augmente_h5,0.50,test_calme_v2,,,,,,5,4,0.800000,58.5917
summary,augmente_sirch_model_augmente_h5,0.50,global_v2,,,,,,30,15,0.500000,59.2787
summary,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,,,,,,15,3,0.200000,63.7194
summary,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,,,,,,10,6,0.600000,52.9613
summary,augmente_sirch_model_augmente_h5,0.65,test_calme_v2,,,,,,5,1,0.200000,58.5917
summary,augmente_sirch_model_augmente_h5,0.65,global_v2,,,,,,30,10,0.333333,59.2787
summary,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,,,,,,15,2,0.133333,63.7194
summary,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,,,,,,10,5,0.500000,52.9613
summary,augmente_sirch_model_augmente_h5,0.70,test_calme_v2,,,,,,5,1,0.200000,58.5917
summary,augmente_sirch_model_augmente_h5,0.70,global_v2,,,,,,30,8,0.266667,59.2787
video,original_sirch_model_h5,0.50,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.018746,0.018746,non_violence,0,,,,
