dataset_origin,split,label,count,avg_duration_sec,min_duration_sec,max_duration_sec,videos_with_duration,seed,split_method
RLVS,ALL,ALL,2000,5.253,1.000,375.733,2000,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,ALL,Violence,1000,5.403,2.900,375.733,1000,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,ALL,Non-violence,1000,5.102,1.000,179.900,1000,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,train,ALL,1408,5.132,1.000,179.900,1408,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,train,Violence,693,5.091,2.900,136.967,693,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,train,Non-violence,715,5.172,1.000,179.900,715,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,val,ALL,295,6.205,3.100,375.733,295,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,val,Violence,149,7.423,3.100,375.733,149,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,val,Non-violence,146,4.962,3.400,10.250,146,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,test,ALL,297,4.880,3.000,7.007,297,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,test,Violence,158,4.870,3.000,7.007,158,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RLVS,test,Non-violence,139,4.892,3.480,5.520,139,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,ALL,ALL,1991,5.000,5.000,5.000,1991,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,ALL,Violence,991,5.000,5.000,5.000,991,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,ALL,Non-violence,1000,5.000,5.000,5.000,1000,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,train,ALL,1385,5.000,5.000,5.000,1385,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,train,Violence,700,5.000,5.000,5.000,700,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,train,Non-violence,685,5.000,5.000,5.000,685,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,val,ALL,304,5.000,5.000,5.000,304,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,val,Violence,150,5.000,5.000,5.000,150,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,val,Non-violence,154,5.000,5.000,5.000,154,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,test,ALL,302,5.000,5.000,5.000,302,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,test,Violence,141,5.000,5.000,5.000,141,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
RWF-2000,test,Non-violence,161,5.000,5.000,5.000,161,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,ALL,ALL,3991,5.127,1.000,375.733,3991,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,ALL,Violence,1991,5.203,2.900,375.733,1991,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,ALL,Non-violence,2000,5.051,1.000,179.900,2000,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,train,ALL,2793,5.066,1.000,179.900,2793,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,train,Violence,1393,5.045,2.900,136.967,1393,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,train,Non-violence,1400,5.088,1.000,179.900,1400,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,val,ALL,599,5.594,3.100,375.733,599,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,val,Violence,299,6.207,3.100,375.733,299,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,val,Non-violence,300,4.982,3.400,10.250,300,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,test,ALL,599,4.941,3.000,7.007,599,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,test,Violence,299,4.931,3.000,7.007,299,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
ALL,test,Non-violence,300,4.950,3.480,5.520,300,42,shuffle(seed=42) + stratified 70/15/15 train/val/test
