split,dataset_origin,label,duration_sec,path
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_102.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_107.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_109.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_119.mp4
test,RLVS,Non-violence,5.520,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_12.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_123.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_127.mp4
test,RLVS,Non-violence,3.800,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_142.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_155.mp4
test,RLVS,Non-violence,5.120,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_17.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_177.mp4
test,RLVS,Non-violence,4.320,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_180.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_191.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_197.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_20.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_211.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_220.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_229.mp4
test,RLVS,Non-violence,4.400,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_23.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_230.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_239.mp4
test,RLVS,Non-violence,3.700,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_24.mp4
test,RLVS,Non-violence,4.505,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_247.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_251.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_258.mp4
test,RLVS,Non-violence,5.000,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_265.mp4
