rank,error_type,dataset_origin,video,true_label,predicted_label,video_score,threshold,category_probable,total_frames,fps,duration_sec,central_frame_index,extreme_frame_index,extreme_window_score,window_scoring_method,central_frame_file,extreme_frame_file
1,FP,RLVS,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_14.mp4,0,1,0.990345,0.5,foule ou mouvement rapide,110,25.000000,4.400000,55,0,0.445347,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_01_RLVS_score_0.990_NV_14_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_01_RLVS_score_0.990_NV_14_extreme.png
2,FP,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0678.avi,0,1,0.982031,0.5,mouvement rapide / scene non-violente proche combat,150,30.000000,5.000000,75,59,0.449965,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_02_RWF2000_score_0.982_rwf_train_nonfight_0678_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_02_RWF2000_score_0.982_rwf_train_nonfight_0678_extreme.png
3,FP,RLVS,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_117.mp4,0,1,0.981151,0.5,foule ou mouvement rapide,150,30.000000,5.000000,75,149,0.450384,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_03_RLVS_score_0.981_NV_117_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_03_RLVS_score_0.981_NV_117_extreme.png
4,FP,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0225.avi,0,1,0.980876,0.5,mouvement rapide / scene non-violente proche combat,150,30.000000,5.000000,75,79,0.447585,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_04_RWF2000_score_0.981_rwf_train_nonfight_0225_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_04_RWF2000_score_0.981_rwf_train_nonfight_0225_extreme.png
5,FP,RLVS,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_788.mp4,0,1,0.980107,0.5,foule ou mouvement rapide,115,23.000000,5.000000,57,53,0.448417,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_05_RLVS_score_0.980_NV_788_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fp_05_RLVS_score_0.980_NV_788_extreme.png
1,FN,RLVS,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_377.mp4,1,0,0.006955,0.5,violence peu visible / faible mouvement,283,25.000000,11.320000,141,282,0.447791,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_01_RLVS_score_0.007_V_377_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_01_RLVS_score_0.007_V_377_extreme.png
2,FN,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0612.avi,1,0,0.020759,0.5,violence peu visible / faible mouvement,150,30.000000,5.000000,75,0,0.449212,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_02_RWF2000_score_0.021_rwf_train_fight_0612_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_02_RWF2000_score_0.021_rwf_train_fight_0612_extreme.png
3,FN,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0623.avi,1,0,0.029886,0.5,violence peu visible / faible mouvement,150,30.000000,5.000000,75,139,0.450014,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_03_RWF2000_score_0.030_rwf_train_fight_0623_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_03_RWF2000_score_0.030_rwf_train_fight_0623_extreme.png
4,FN,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0611.avi,1,0,0.043327,0.5,violence peu visible / faible mouvement,150,30.000000,5.000000,75,149,0.449246,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_04_RWF2000_score_0.043_rwf_train_fight_0611_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_04_RWF2000_score_0.043_rwf_train_fight_0611_extreme.png
5,FN,RWF-2000,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0624.avi,1,0,0.044457,0.5,violence peu visible / faible mouvement,150,30.000000,5.000000,75,59,0.450020,"16 temporal windows, 2.0s around center, EfficientNetB0+LSTM score; FP=max score, FN=min score",C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_05_RWF2000_score_0.044_rwf_train_fight_0624_central.png,C:\SIRCH_ENV\models\phase3\figures\erreurs\fn_05_RWF2000_score_0.044_rwf_train_fight_0624_extreme.png
