experiment,video,true_label,score,pred_label
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0130.avi,0,0.61908913,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0246.avi,1,0.98522246,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0784.avi,0,0.95032972,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0041.avi,0,0.51742899,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0057.avi,1,0.99124813,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0018.avi,0,0.95030898,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0455.avi,0,0.99815100,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0404.avi,1,0.85523075,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0229.avi,1,0.99782962,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0222.avi,1,0.99240428,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0174.avi,0,0.65110075,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0169.avi,0,0.94762397,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0015.avi,0,0.82589865,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0270.avi,1,0.94225121,1
rlvs_only_on_rwf,C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0092.avi,0,0.91479659,1
