experiment,video,true_label,score,pred_label
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_456.mp4,0,0.03563322,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_303.mp4,1,0.66516244,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_290.mp4,1,0.18837892,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_884.avi,0,0.01785664,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_149.mp4,1,0.71258533,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_371.mp4,0,0.11859298,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_20.mp4,0,0.08444138,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_706.mp4,0,0.14050741,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_559.mp4,0,0.44482094,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_299.mp4,1,0.38375378,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_169.mp4,0,0.01095662,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_393.mp4,0,0.54472071,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_40.mp4,0,0.17501506,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_730.mp4,0,0.13221370,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_994.mp4,1,0.09880222,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_747.mp4,0,0.69938421,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_823.mp4,0,0.31372145,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_306.mp4,0,0.39130685,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_742.mp4,1,0.06120171,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_340.mp4,1,0.27016160,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_663.mp4,0,0.03623645,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_770.mp4,1,0.81842983,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_828.mp4,0,0.00518476,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_338.mp4,0,0.67741925,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_298.mp4,1,0.72472978,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_719.mp4,0,0.10854021,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_540.mp4,1,0.49825519,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_640.mp4,0,0.18616848,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_17.mp4,0,0.03552807,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_331.mp4,1,0.43144006,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_898.avi,0,0.03685884,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_293.mp4,0,0.57251650,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_658.mp4,1,0.37550968,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_659.mp4,0,0.12808920,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_990.mp4,1,0.90034491,1
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_861.mp4,0,0.15341827,0
rwf_only_on_rlvs,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_692.mp4,0,0.10802066,0
