threshold,total,tn,fp,fn,tp,accuracy,precision,recall,f1_score,precision_recall_gap,is_best_f1,is_min_fn_surveillance,is_best_precision_recall_balance
0.30,599,227,73,10,289,0.861436,0.798343,0.966555,0.874433,0.168213,0,0,0
0.35,599,230,70,10,289,0.866444,0.805014,0.966555,0.878419,0.161541,0,1,0
0.40,599,238,62,11,288,0.878130,0.822857,0.963211,0.887519,0.140354,1,0,0
0.45,599,241,59,14,285,0.878130,0.828488,0.953177,0.886470,0.124689,0,0,0
0.50,599,242,58,21,278,0.868114,0.827381,0.929766,0.875591,0.102385,0,0,0
0.55,599,250,50,23,276,0.878130,0.846626,0.923077,0.883200,0.076451,0,0,0
0.60,599,255,45,31,268,0.873122,0.856230,0.896321,0.875817,0.040091,0,0,0
0.65,599,261,39,37,262,0.873122,0.870432,0.876254,0.873333,0.005822,0,0,1
0.70,599,262,38,42,257,0.866444,0.871186,0.859532,0.865320,0.011655,0,0,0
0.75,599,264,36,49,250,0.858097,0.874126,0.836120,0.854701,0.038005,0,0,0
0.80,599,266,34,54,245,0.853088,0.878136,0.819398,0.847751,0.058738,0,0,0
0.85,599,272,28,63,236,0.848080,0.893939,0.789298,0.838366,0.104642,0,0,0
0.90,599,279,21,81,218,0.829716,0.912134,0.729097,0.810409,0.183037,0,0,0
