duplicate_group,sha256,split,dataset,category,label,label_name,relative_path
1,3f9cc7f69f5d74f305d3f56be41b0cb9b34e4a42b08c7ea8e5517f6cbdcaf054,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0531.avi
1,3f9cc7f69f5d74f305d3f56be41b0cb9b34e4a42b08c7ea8e5517f6cbdcaf054,validation,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0431.avi
2,524d31e12b2a4ddec8bf5a4728008768db94578525ab0ca54a1afea69a4f9752,train,RLVS,,0,non_violence,NonViolence/NV_853.mp4
2,524d31e12b2a4ddec8bf5a4728008768db94578525ab0ca54a1afea69a4f9752,validation,RLVS,,0,non_violence,NonViolence/NV_852.mp4
3,5561ba5284a1049ef6c937e9e2aea621936605c9028f059d7da875e989784124,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0790.avi
3,5561ba5284a1049ef6c937e9e2aea621936605c9028f059d7da875e989784124,validation,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0791.avi
4,6dcca31f1b764aba418928b6b8744721e060adb0b36af54ad86e60aa2bfb9448,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0532.avi
4,6dcca31f1b764aba418928b6b8744721e060adb0b36af54ad86e60aa2bfb9448,test,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0432.avi
5,824edfa52b7b6fecd85754be7f841cdd5cecb7519103623d4c17f2a325039612,train,RLVS,,1,violence,Violence/V_504.mp4
5,824edfa52b7b6fecd85754be7f841cdd5cecb7519103623d4c17f2a325039612,test,RLVS,,0,non_violence,NonViolence/NV_226.mp4
6,961e50c0e08d60751610037727aa09fa4258c2f2be30c6e98644e2b2678db001,train,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0071.avi
6,961e50c0e08d60751610037727aa09fa4258c2f2be30c6e98644e2b2678db001,test,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0761.avi
7,992382c47f49ffe960ab3f609d48d4e2049490e44c048b4ef6c10f843e8fefaf,train,RLVS,,0,non_violence,NonViolence/NV_27.mp4
7,992382c47f49ffe960ab3f609d48d4e2049490e44c048b4ef6c10f843e8fefaf,test,RLVS,,0,non_violence,NonViolence/NV_20.mp4
8,a267d4f80b188d8bf175a61e1699f28733c4c180be8f9c0411d273e2e1454f6b,validation,RLVS,,1,violence,Violence/V_447.mp4
8,a267d4f80b188d8bf175a61e1699f28733c4c180be8f9c0411d273e2e1454f6b,test,RLVS,,1,violence,Violence/V_431.mp4
9,a85a93055d0601cf6ab7dfd9dd8e6eb5e701b65baa7deb3bcaaaf56cdf1d04e4,train,RLVS,,0,non_violence,NonViolence/NV_297.mp4
9,a85a93055d0601cf6ab7dfd9dd8e6eb5e701b65baa7deb3bcaaaf56cdf1d04e4,test,RLVS,,0,non_violence,NonViolence/NV_298.mp4
10,b4899c39e0d4575dbb277f3cab6a56937c57b72503b7c06278b7203105592de2,train,RLVS,,0,non_violence,NonViolence/NV_25.mp4
10,b4899c39e0d4575dbb277f3cab6a56937c57b72503b7c06278b7203105592de2,test,RLVS,,0,non_violence,NonViolence/NV_26.mp4
11,c344e296d5084b7caee6a296b4a7a8773d0555f302336c9420d7ea05ca8271f9,train,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0510.avi
11,c344e296d5084b7caee6a296b4a7a8773d0555f302336c9420d7ea05ca8271f9,validation,RWF-2000,,0,non_violence,val/NonFight/rwf_val_nonfight_0049.avi
12,fcff55a63ffb5f6908aa18db2afe3c44cc6b0f62d010c585b698f54373c2f5a8,train,RLVS,,1,violence,Violence/V_163.mp4
12,fcff55a63ffb5f6908aa18db2afe3c44cc6b0f62d010c585b698f54373c2f5a8,validation,RLVS,,1,violence,Violence/V_169.mp4
