duplicate_group,sha256,original_splits,split,dataset,category,original_label,original_label_name,relative_path,action,canonical_split,canonical_relative_path,canonical_label_after,ground_truth_basis,evidence
1,3f9cc7f69f5d74f305d3f56be41b0cb9b34e4a42b08c7ea8e5517f6cbdcaf054,train<->validation,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0531.avi,keep_canonical,train,train/Fight/rwf_train_fight_0531.avi,1,Etiquettes sources concordantes.,
1,3f9cc7f69f5d74f305d3f56be41b0cb9b34e4a42b08c7ea8e5517f6cbdcaf054,train<->validation,validation,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0431.avi,remove_cross_split_duplicate,train,train/Fight/rwf_train_fight_0531.avi,1,Etiquettes sources concordantes.,
2,524d31e12b2a4ddec8bf5a4728008768db94578525ab0ca54a1afea69a4f9752,train<->validation,train,RLVS,,0,non_violence,NonViolence/NV_853.mp4,keep_canonical,train,NonViolence/NV_853.mp4,0,Etiquettes sources concordantes.,
2,524d31e12b2a4ddec8bf5a4728008768db94578525ab0ca54a1afea69a4f9752,train<->validation,validation,RLVS,,0,non_violence,NonViolence/NV_852.mp4,remove_cross_split_duplicate,train,NonViolence/NV_853.mp4,0,Etiquettes sources concordantes.,
3,5561ba5284a1049ef6c937e9e2aea621936605c9028f059d7da875e989784124,train<->validation,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0790.avi,keep_canonical,train,train/Fight/rwf_train_fight_0790.avi,1,Etiquettes sources concordantes.,
3,5561ba5284a1049ef6c937e9e2aea621936605c9028f059d7da875e989784124,train<->validation,validation,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0791.avi,remove_cross_split_duplicate,train,train/Fight/rwf_train_fight_0790.avi,1,Etiquettes sources concordantes.,
4,6dcca31f1b764aba418928b6b8744721e060adb0b36af54ad86e60aa2bfb9448,train<->test,train,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0532.avi,keep_canonical,train,train/Fight/rwf_train_fight_0532.avi,1,Etiquettes sources concordantes.,
4,6dcca31f1b764aba418928b6b8744721e060adb0b36af54ad86e60aa2bfb9448,train<->test,test,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0432.avi,remove_cross_split_duplicate,train,train/Fight/rwf_train_fight_0532.avi,1,Etiquettes sources concordantes.,
5,824edfa52b7b6fecd85754be7f841cdd5cecb7519103623d4c17f2a325039612,train<->test,train,RLVS,,1,violence,Violence/V_504.mp4,keep_canonical_relabelled,train,Violence/V_504.mp4,0,"Verification visuelle de 20 images reparties sur les 5,37 secondes : match de tennis, sans violence.",ground_truth_conflict_contact_sheet.png
5,824edfa52b7b6fecd85754be7f841cdd5cecb7519103623d4c17f2a325039612,train<->test,test,RLVS,,0,non_violence,NonViolence/NV_226.mp4,remove_cross_split_duplicate,train,Violence/V_504.mp4,0,"Verification visuelle de 20 images reparties sur les 5,37 secondes : match de tennis, sans violence.",ground_truth_conflict_contact_sheet.png
6,961e50c0e08d60751610037727aa09fa4258c2f2be30c6e98644e2b2678db001,train<->test,train,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0071.avi,keep_canonical,train,train/NonFight/rwf_train_nonfight_0071.avi,0,Etiquettes sources concordantes.,
6,961e50c0e08d60751610037727aa09fa4258c2f2be30c6e98644e2b2678db001,train<->test,test,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0761.avi,remove_cross_split_duplicate,train,train/NonFight/rwf_train_nonfight_0071.avi,0,Etiquettes sources concordantes.,
7,992382c47f49ffe960ab3f609d48d4e2049490e44c048b4ef6c10f843e8fefaf,train<->test,train,RLVS,,0,non_violence,NonViolence/NV_27.mp4,keep_canonical,train,NonViolence/NV_27.mp4,0,Etiquettes sources concordantes.,
7,992382c47f49ffe960ab3f609d48d4e2049490e44c048b4ef6c10f843e8fefaf,train<->test,test,RLVS,,0,non_violence,NonViolence/NV_20.mp4,remove_cross_split_duplicate,train,NonViolence/NV_27.mp4,0,Etiquettes sources concordantes.,
8,a267d4f80b188d8bf175a61e1699f28733c4c180be8f9c0411d273e2e1454f6b,validation<->test,validation,RLVS,,1,violence,Violence/V_447.mp4,keep_canonical,validation,Violence/V_447.mp4,1,Etiquettes sources concordantes.,
8,a267d4f80b188d8bf175a61e1699f28733c4c180be8f9c0411d273e2e1454f6b,validation<->test,test,RLVS,,1,violence,Violence/V_431.mp4,remove_cross_split_duplicate,validation,Violence/V_447.mp4,1,Etiquettes sources concordantes.,
9,a85a93055d0601cf6ab7dfd9dd8e6eb5e701b65baa7deb3bcaaaf56cdf1d04e4,train<->test,train,RLVS,,0,non_violence,NonViolence/NV_297.mp4,keep_canonical,train,NonViolence/NV_297.mp4,0,Etiquettes sources concordantes.,
9,a85a93055d0601cf6ab7dfd9dd8e6eb5e701b65baa7deb3bcaaaf56cdf1d04e4,train<->test,test,RLVS,,0,non_violence,NonViolence/NV_298.mp4,remove_cross_split_duplicate,train,NonViolence/NV_297.mp4,0,Etiquettes sources concordantes.,
