split,split_index,dataset,category,label,label_name,relative_path,size_bytes,sha256,video_id,source_url,license,historical_evidence
train,0,historical_enrichment_v1,basketball,0,non_violence,test_sport/basketball_01_WwMLOcTVUmc.mp4,387799,c723066ebfa1da8c7897093c659b5bd89be2ba84fea3e4c06876767646b27ef1,WwMLOcTVUmc,https://www.youtube.com/watch?v=WwMLOcTVUmc,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,1,historical_enrichment_v1,basketball,0,non_violence,test_sport/basketball_02_Czaz0AiIfkQ.mp4,412086,0a8a36b4725312e261deec4a7714ef1490602c02a714c03c267a1ca11ea6ff70,Czaz0AiIfkQ,https://www.youtube.com/watch?v=Czaz0AiIfkQ,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,2,historical_enrichment_v1,basketball,0,non_violence,test_sport/basketball_03_TWLLv2ikavc.mp4,608928,639af7636170dfd34620f1b1c64020f6f29c27af61c12480f055ad1c7b958718,TWLLv2ikavc,https://www.youtube.com/watch?v=TWLLv2ikavc,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,3,historical_enrichment_v1,basketball,0,non_violence,test_sport/basketball_04_N8ir6EaDceI.mp4,701626,92f7d4d06b1d7d2bbb24f0d7920884276ba386c25e4e8f80edb875dabfe5c204,N8ir6EaDceI,https://www.youtube.com/watch?v=N8ir6EaDceI,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,4,historical_enrichment_v1,basketball,0,non_violence,test_sport/basketball_05_wtpobZDZv3A.mp4,974069,01973eff78e2daca646d5e336c3b98b50ef304d390a6dba5d25fe70d0c677467,wtpobZDZv3A,https://www.youtube.com/watch?v=wtpobZDZv3A,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,5,historical_enrichment_v1,boxe,0,non_violence,test_sport/boxe_01_DBeTvfwjAug.mp4,345427,02a8ea37ffcfd1ce8b52efb636adfd1cb54e5dc0703b207cf2c5ef397945221b,DBeTvfwjAug,https://www.youtube.com/watch?v=DBeTvfwjAug,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,6,historical_enrichment_v1,boxe,0,non_violence,test_sport/boxe_02_ewfo7pWZ3DU.mp4,697550,1cdaaf9f27b129ff8e433891a91c0819bdd08bddcb29ddf2a7e4dc9096718f4c,ewfo7pWZ3DU,https://www.youtube.com/watch?v=ewfo7pWZ3DU,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,7,historical_enrichment_v1,boxe,0,non_violence,test_sport/boxe_03_CycVhzGQazQ.mp4,869118,8efc38d9963df135a8c1f10ede8a5d0194ede0c7ee3b6b2356a8c5837ac16270,CycVhzGQazQ,https://www.youtube.com/watch?v=CycVhzGQazQ,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,8,historical_enrichment_v1,boxe,0,non_violence,test_sport/boxe_04_UsCSozlLlhs.mp4,1726227,191768c9c0b75cdfbc50baec2bd581aea07f28455e5f3d8e1230811f857a16da,UsCSozlLlhs,https://www.youtube.com/watch?v=UsCSozlLlhs,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,9,historical_enrichment_v1,boxe,0,non_violence,test_sport/boxe_05_37dgPBSUosE.mp4,1282665,ff9f37d590b895f97cfb7d363600ab648b37841b5d0f3e89f1d8c87cebe62f4a,37dgPBSUosE,https://www.youtube.com/watch?v=37dgPBSUosE,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
