k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
1,0.3,594,215,83,10,286,0.8434343434343434,0.8438463631416652,0.7750677506775068,0.9662162162162162,0.8601503759398497,0.2785234899328859,0.033783783783783786,0
1,0.35,594,219,79,13,283,0.8451178451178452,0.8454902049700708,0.7817679558011049,0.956081081081081,0.8601823708206687,0.2651006711409396,0.04391891891891892,0
1,0.4,594,221,77,14,282,0.8468013468013468,0.8471567204788681,0.7855153203342619,0.9527027027027027,0.8610687022900764,0.25838926174496646,0.0472972972972973,0
1,0.45,594,226,72,15,281,0.8535353535353535,0.8538567930346455,0.7960339943342776,0.9493243243243243,0.8659476117103235,0.24161073825503357,0.05067567567567568,0
1,0.5,594,234,64,15,281,0.867003367003367,0.8672796118265917,0.8144927536231884,0.9493243243243243,0.8767550702028081,0.21476510067114093,0.05067567567567568,0
1,0.55,594,240,58,16,280,0.8754208754208754,0.8756575367313622,0.8284023668639053,0.9459459459459459,0.8832807570977917,0.19463087248322147,0.05405405405405406,0
1,0.6,594,245,53,17,279,0.8821548821548821,0.8823576092871395,0.8403614457831325,0.9425675675675675,0.8885350318471338,0.17785234899328858,0.057432432432432436,0
1,0.65,594,250,48,20,276,0.8855218855218855,0.8856793034645384,0.8518518518518519,0.9324324324324325,0.8903225806451613,0.1610738255033557,0.06756756756756757,0
1,0.7,594,251,47,22,274,0.8838383838383839,0.8839787774351533,0.8535825545171339,0.9256756756756757,0.8881685575364667,0.15771812080536912,0.07432432432432433,0
1,0.75,594,254,44,28,268,0.8787878787878788,0.8788771993469979,0.8589743589743589,0.9054054054054054,0.881578947368421,0.1476510067114094,0.0945945945945946,0
1,0.8,594,259,39,34,262,0.877104377104377,0.8771313259568293,0.8704318936877077,0.8851351351351351,0.8777219430485762,0.13087248322147652,0.11486486486486487,0
1,0.85,594,264,34,39,257,0.877104377104377,0.8770746417558498,0.8831615120274914,0.8682432432432432,0.8756388415672913,0.11409395973154363,0.13175675675675674,0
1,0.9,594,268,30,55,241,0.8569023569023569,0.856759024124796,0.8892988929889298,0.8141891891891891,0.8500881834215167,0.10067114093959731,0.1858108108108108,0
3,0.3,594,218,80,11,285,0.8468013468013468,0.8471907309994559,0.7808219178082192,0.9628378378378378,0.8623298033282905,0.2684563758389262,0.037162162162162164,0
3,0.35,594,225,73,14,282,0.8535353535353535,0.8538681298748413,0.7943661971830986,0.9527027027027027,0.8663594470046083,0.24496644295302014,0.0472972972972973,0
3,0.4,594,228,70,15,281,0.8569023569023569,0.857212497732632,0.8005698005698005,0.9493243243243243,0.8686244204018547,0.2348993288590604,0.05067567567567568,0
3,0.45,594,233,65,15,281,0.8653198653198653,0.8656017594775984,0.8121387283236994,0.9493243243243243,0.8753894080996885,0.2181208053691275,0.05067567567567568,0
3,0.5,594,238,60,16,280,0.8720538720538721,0.8723018320333756,0.8235294117647058,0.9459459459459459,0.8805031446540881,0.20134228187919462,0.05405405405405406,0
3,0.55,594,243,55,16,280,0.8804713804713805,0.8806910937783421,0.835820895522388,0.9459459459459459,0.8874801901743264,0.18456375838926176,0.05405405405405406,0
3,0.6,594,248,50,19,277,0.8838383838383839,0.884012787955741,0.8470948012232415,0.9358108108108109,0.8892455858747994,0.16778523489932887,0.06418918918918919,0
3,0.65,594,252,46,21,275,0.8872053872053872,0.8873458189733358,0.8566978193146417,0.9290540540540541,0.8914100486223663,0.15436241610738255,0.07094594594594594,0
3,0.7,594,254,44,28,268,0.8787878787878788,0.8788771993469979,0.8589743589743589,0.9054054054054054,0.881578947368421,0.1476510067114094,0.0945945945945946,0
3,0.75,594,258,40,34,262,0.8754208754208754,0.875453473607836,0.8675496688741722,0.8851351351351351,0.8762541806020067,0.1342281879194631,0.11486486486486487,0
3,0.8,594,261,37,37,259,0.8754208754208754,0.8754194630872483,0.875,0.875,0.875,0.12416107382550336,0.125,0
3,0.85,594,265,33,43,253,0.8720538720538721,0.8719957373480863,0.8846153846153846,0.8547297297297297,0.8694158075601375,0.11073825503355705,0.14527027027027026,0
3,0.9,594,273,25,55,241,0.8653198653198653,0.8651482858697623,0.9060150375939849,0.8141891891891891,0.8576512455516014,0.08389261744966443,0.1858108108108108,0
5,0.3,594,223,75,13,283,0.8518518518518519,0.8522016143660438,0.7905027932960894,0.956081081081081,0.8654434250764526,0.2516778523489933,0.04391891891891892,0
