metric,estimate_type,estimate,ci95_lower,ci95_upper,bootstrap_iterations,seed
accuracy,original,0.8800675676,0.8530405405,0.9054054054,10000,42
accuracy,augmented,0.9087837838,0.8851351351,0.9307432432,10000,42
accuracy,delta_augmented_minus_original,0.0287162162,0.0050675676,0.0523648649,10000,42
balanced_accuracy,original,0.8799235291,0.8537669517,0.9052411222,10000,42
balanced_accuracy,augmented,0.9087142613,0.8848134112,0.9307520531,10000,42
balanced_accuracy,delta_augmented_minus_original,0.0287907322,0.0051703775,0.0526558186,10000,42
precision,original,0.8509316770,0.8117283951,0.8881355932,10000,42
precision,augmented,0.8932038835,0.8585201420,0.9264214047,10000,42
precision,delta_augmented_minus_original,0.0422722065,0.0127422432,0.0731280769,10000,42
recall,original,0.9225589226,0.8903654485,0.9518900344,10000,42
recall,augmented,0.9292929293,0.8984603175,0.9568367460,10000,42
recall,delta_augmented_minus_original,0.0067340067,-0.0229508197,0.0365448505,10000,42
specificity,original,0.8372881356,0.7950484733,0.8773006135,10000,42
specificity,augmented,0.8881355932,0.8512110727,0.9220349989,10000,42
specificity,delta_augmented_minus_original,0.0508474576,0.0143369176,0.0883416264,10000,42
f1,original,0.8852988691,0.8576327877,0.9105180534,10000,42
f1,augmented,0.9108910891,0.8863261944,0.9331210191,10000,42
f1,delta_augmented_minus_original,0.0255922200,0.0031086691,0.0485456824,10000,42
roc_auc,original,0.9526565086,0.9370735242,0.9662660074,10000,42
roc_auc,augmented,0.9664897563,0.9538400045,0.9773869935,10000,42
roc_auc,delta_augmented_minus_original,0.0138332477,0.0043110878,0.0240315824,10000,42
pr_auc,original,0.9508687200,0.9326446846,0.9664632718,10000,42
pr_auc,augmented,0.9661266134,0.9512986514,0.9780270187,10000,42
pr_auc,delta_augmented_minus_original,0.0152578934,0.0049916995,0.0265564264,10000,42
