metric,effect,estimate,ci95_lower,ci95_upper,bootstrap_iterations,seed
accuracy,enrichment_within_lstm,0.0287162162,0.0050675676,0.0523648649,10000,42
accuracy,enrichment_within_gru,0.0050675676,-0.0135135135,0.0236486486,10000,42
accuracy,architecture_gru_minus_lstm_original,-0.0033783784,-0.0220016892,0.0152027027,10000,42
accuracy,architecture_gru_minus_lstm_augmented,-0.0270270270,-0.0489864865,-0.0067567568,10000,42
accuracy,main_enrichment_average,0.0168918919,0.0000000000,0.0337837838,10000,42
accuracy,main_architecture_gru_minus_lstm_average,-0.0152027027,-0.0304054054,-0.0008445946,10000,42
accuracy,interaction,-0.0236486486,-0.0506756757,0.0033783784,10000,42
balanced_accuracy,enrichment_within_lstm,0.0287907322,0.0051703775,0.0526558186,10000,42
balanced_accuracy,enrichment_within_gru,0.0050505051,-0.0137364644,0.0237689598,10000,42
balanced_accuracy,architecture_gru_minus_lstm_original,-0.0034354848,-0.0228516518,0.0157837643,10000,42
balanced_accuracy,architecture_gru_minus_lstm_augmented,-0.0271757119,-0.0483793962,-0.0071578517,10000,42
balanced_accuracy,main_enrichment_average,0.0169206186,0.0003578533,0.0337652992,10000,42
balanced_accuracy,main_architecture_gru_minus_lstm_average,-0.0153055984,-0.0302984189,-0.0007386727,10000,42
balanced_accuracy,interaction,-0.0237402271,-0.0499310554,0.0032762041,10000,42
precision,enrichment_within_lstm,0.0422722065,0.0127422432,0.0731280769,10000,42
precision,enrichment_within_gru,0.0014565726,-0.0226188813,0.0255846555,10000,42
precision,architecture_gru_minus_lstm_original,-0.0135822794,-0.0368182989,0.0091516660,10000,42
precision,architecture_gru_minus_lstm_augmented,-0.0543979133,-0.0820039324,-0.0287910370,10000,42
precision,main_enrichment_average,0.0218643895,0.0010674120,0.0436767951,10000,42
precision,main_architecture_gru_minus_lstm_average,-0.0339900964,-0.0525415971,-0.0163794420,10000,42
precision,interaction,-0.0408156339,-0.0754623222,-0.0066242988,10000,42
recall,enrichment_within_lstm,0.0067340067,-0.0229508197,0.0365448505,10000,42
recall,enrichment_within_gru,0.0101010101,-0.0099337748,0.0307167235,10000,42
recall,architecture_gru_minus_lstm_original,0.0134680135,-0.0105272424,0.0385993209,10000,42
recall,architecture_gru_minus_lstm_augmented,0.0168350168,-0.0067340067,0.0415224913,10000,42
recall,main_enrichment_average,0.0084175084,-0.0116279070,0.0279608139,10000,42
recall,main_architecture_gru_minus_lstm_average,0.0151515152,-0.0034016508,0.0337092200,10000,42
recall,interaction,0.0033670034,-0.0275862069,0.0357142857,10000,42
specificity,enrichment_within_lstm,0.0508474576,0.0143369176,0.0883416264,10000,42
specificity,enrichment_within_gru,0.0000000000,-0.0323624595,0.0321428571,10000,42
specificity,architecture_gru_minus_lstm_original,-0.0203389831,-0.0506756757,0.0098368745,10000,42
specificity,architecture_gru_minus_lstm_augmented,-0.0711864407,-0.1050850157,-0.0392156863,10000,42
specificity,main_enrichment_average,0.0254237288,-0.0000000000,0.0530840406,10000,42
specificity,main_architecture_gru_minus_lstm_average,-0.0457627119,-0.0694926479,-0.0231788079,10000,42
specificity,interaction,-0.0508474576,-0.0937525283,-0.0069680362,10000,42
f1,enrichment_within_lstm,0.0255922200,0.0031086691,0.0485456824,10000,42
f1,enrichment_within_gru,0.0052977400,-0.0115401178,0.0223175076,10000,42
f1,architecture_gru_minus_lstm_original,-0.0013561028,-0.0195300300,0.0167650240,10000,42
f1,architecture_gru_minus_lstm_augmented,-0.0216505828,-0.0415605585,-0.0027819404,10000,42
f1,main_enrichment_average,0.0154449800,-0.0001337344,0.0311636888,10000,42
f1,main_architecture_gru_minus_lstm_average,-0.0115033428,-0.0259058162,0.0021434475,10000,42
f1,interaction,-0.0202944799,-0.0453895566,0.0049712688,10000,42
roc_auc,enrichment_within_lstm,0.0138332477,0.0043110878,0.0240315824,10000,42
roc_auc,enrichment_within_gru,0.0019288935,-0.0057527233,0.0095996964,10000,42
roc_auc,architecture_gru_minus_lstm_original,0.0026593620,-0.0057091393,0.0112074393,10000,42
roc_auc,architecture_gru_minus_lstm_augmented,-0.0092449923,-0.0190173435,-0.0002285237,10000,42
roc_auc,main_enrichment_average,0.0078810706,0.0011650126,0.0149943525,10000,42
roc_auc,main_architecture_gru_minus_lstm_average,-0.0032928152,-0.0103251963,0.0032979769,10000,42
roc_auc,interaction,-0.0119043543,-0.0235539693,-0.0009927904,10000,42
pr_auc,enrichment_within_lstm,0.0152578934,0.0049916995,0.0265564264,10000,42
pr_auc,enrichment_within_gru,0.0016025482,-0.0070002858,0.0100867176,10000,42
pr_auc,architecture_gru_minus_lstm_original,0.0034511136,-0.0054806730,0.0125934970,10000,42
pr_auc,architecture_gru_minus_lstm_augmented,-0.0102042316,-0.0213672508,-0.0000948542,10000,42
pr_auc,main_enrichment_average,0.0084302208,0.0011828603,0.0162507158,10000,42
pr_auc,main_architecture_gru_minus_lstm_average,-0.0033765590,-0.0113374252,0.0039719791,10000,42
pr_auc,interaction,-0.0136553452,-0.0267461588,-0.0016019439,10000,42
