k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
1,0.3,594,178,120,5,291,0.7895622895622896,0.7902117721748594,0.708029197080292,0.9831081081081081,0.8231966053748232,0.40268456375838924,0.016891891891891893,0
1,0.35,594,184,114,8,288,0.7946127946127947,0.7952113187012516,0.7164179104477612,0.972972972972973,0.8252148997134671,0.3825503355704698,0.02702702702702703,0
1,0.4,594,190,108,9,287,0.803030303030303,0.8035892436060221,0.7265822784810126,0.9695945945945946,0.8306801736613604,0.3624161073825503,0.030405405405405407,0
1,0.45,594,195,103,12,284,0.8063973063973064,0.8069109377834209,0.7338501291989664,0.9594594594594594,0.8316251830161054,0.34563758389261745,0.04054054054054054,0
1,0.5,594,206,92,14,282,0.8215488215488216,0.8219889352439689,0.7540106951871658,0.9527027027027027,0.8417910447761194,0.3087248322147651,0.0472972972972973,0
1,0.55,594,212,86,16,280,0.8282828282828283,0.8286776709595501,0.7650273224043715,0.9459459459459459,0.8459214501510574,0.28859060402684567,0.05405405405405406,0
1,0.6,594,220,78,17,279,0.8400673400673401,0.8404113005623073,0.7815126050420168,0.9425675675675675,0.8545176110260337,0.26174496644295303,0.057432432432432436,0
1,0.65,594,229,69,23,273,0.8451178451178452,0.8453768365681117,0.7982456140350878,0.9222972972972973,0.8557993730407524,0.23154362416107382,0.0777027027027027,0
1,0.7,594,236,62,33,263,0.8400673400673401,0.8402299111191729,0.8092307692307692,0.8885135135135135,0.8470209339774557,0.2080536912751678,0.11148648648648649,0
1,0.75,594,241,57,38,258,0.8400673400673401,0.8401732269181934,0.819047619047619,0.8716216216216216,0.8445171849427169,0.1912751677852349,0.12837837837837837,0
1,0.8,594,251,47,43,253,0.8484848484848485,0.8485058044621803,0.8433333333333334,0.8547297297297297,0.8489932885906041,0.15771812080536912,0.14527027027027026,0
1,0.85,594,262,36,58,238,0.8417508417508418,0.8416243424632686,0.8686131386861314,0.8040540540540541,0.8350877192982457,0.12080536912751678,0.19594594594594594,0
1,0.9,594,268,30,68,228,0.835016835016835,0.8347995646653366,0.8837209302325582,0.7702702702702703,0.8231046931407943,0.10067114093959731,0.22972972972972974,0
3,0.3,594,184,114,6,290,0.797979797979798,0.79858969707963,0.7178217821782178,0.9797297297297297,0.8285714285714286,0.3825503355704698,0.02027027027027027,0
3,0.35,594,190,108,9,287,0.803030303030303,0.8035892436060221,0.7265822784810126,0.9695945945945946,0.8306801736613604,0.3624161073825503,0.030405405405405407,0
3,0.4,594,192,106,11,285,0.803030303030303,0.8035665699256302,0.7289002557544757,0.9628378378378378,0.8296943231441049,0.35570469798657717,0.037162162162162164,0
3,0.45,594,198,100,15,281,0.8063973063973064,0.8068769272628333,0.7375328083989501,0.9493243243243243,0.8301329394387001,0.33557046979865773,0.05067567567567568,0
3,0.5,594,212,86,17,279,0.8265993265993266,0.826988481770361,0.7643835616438356,0.9425675675675675,0.8441754916792739,0.28859060402684567,0.057432432432432436,0
3,0.55,594,220,78,17,279,0.8400673400673401,0.8404113005623073,0.7815126050420168,0.9425675675675675,0.8545176110260337,0.26174496644295303,0.057432432432432436,0
3,0.6,594,226,72,21,275,0.8434343434343434,0.8437216578995103,0.792507204610951,0.9290540540540541,0.8553654743390358,0.24161073825503357,0.07094594594594594,0
3,0.65,594,235,63,26,270,0.8501683501683501,0.8503763830945039,0.8108108108108109,0.9121621621621622,0.8585055643879174,0.21140939597315436,0.08783783783783784,0
