k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
1,0.3,594,170,128,8,288,0.7710437710437711,0.7717213858153456,0.6923076923076923,0.972972972972973,0.8089887640449438,0.42953020134228187,0.02702702702702703,0
1,0.35,594,177,121,9,287,0.7811447811447811,0.7817771630691094,0.7034313725490197,0.9695945945945946,0.8153409090909091,0.40604026845637586,0.030405405405405407,0
1,0.4,594,182,116,13,283,0.7828282828282829,0.783409668057319,0.7092731829573935,0.956081081081081,0.814388489208633,0.38926174496644295,0.04391891891891892,0
1,0.45,594,194,104,13,283,0.803030303030303,0.8035438962452385,0.7312661498708011,0.956081081081081,0.828696925329429,0.348993288590604,0.04391891891891892,0
1,0.5,594,201,97,17,279,0.8080808080808081,0.8085321059314348,0.7420212765957447,0.9425675675675675,0.8303571428571429,0.32550335570469796,0.057432432432432436,0
1,0.55,594,207,91,18,278,0.8164983164983165,0.8169100308362054,0.7533875338753387,0.9391891891891891,0.8360902255639098,0.3053691275167785,0.060810810810810814,0
1,0.6,594,215,83,18,278,0.82996632996633,0.8303328496281517,0.7700831024930748,0.9391891891891891,0.8462709284627092,0.2785234899328859,0.060810810810810814,0
1,0.65,594,223,75,23,273,0.835016835016835,0.8353097224741519,0.7844827586206896,0.9222972972972973,0.8478260869565217,0.2516778523489933,0.0777027027027027,0
1,0.7,594,229,69,30,266,0.8333333333333334,0.8335525122437875,0.7940298507462686,0.8986486486486487,0.8431061806656102,0.23154362416107382,0.10135135135135136,0
1,0.75,594,234,64,39,257,0.8265993265993266,0.8267390712860512,0.8006230529595015,0.8682432432432432,0.833063209076175,0.21476510067114093,0.13175675675675674,0
1,0.8,594,246,52,48,248,0.8316498316498316,0.8316705967712679,0.8266666666666667,0.8378378378378378,0.8322147651006712,0.174496644295302,0.16216216216216217,0
1,0.85,594,263,35,54,242,0.8501683501683501,0.8500589515690187,0.8736462093862816,0.8175675675675675,0.8446771378708552,0.1174496644295302,0.18243243243243243,0
1,0.9,594,271,27,70,226,0.8367003367003367,0.836454743333938,0.8932806324110671,0.7635135135135135,0.8233151183970856,0.09060402684563758,0.23648648648648649,0
3,0.3,594,175,123,8,288,0.7794612794612794,0.780110647560312,0.7007299270072993,0.972972972972973,0.8147100424328148,0.412751677852349,0.02702702702702703,0
3,0.35,594,183,115,11,285,0.7878787878787878,0.7884658987846906,0.7125,0.9628378378378378,0.8189655172413793,0.3859060402684564,0.037162162162162164,0
3,0.4,594,190,108,13,283,0.7962962962962963,0.7968324868492653,0.7237851662404092,0.956081081081081,0.8238719068413392,0.3624161073825503,0.04391891891891892,0
3,0.45,594,199,99,14,282,0.8097643097643098,0.8102439688010158,0.7401574803149606,0.9527027027027027,0.8330871491875923,0.33221476510067116,0.0472972972972973,0
