cluster_id,n_videos,n_train,n_validation,n_test,n_edges,probable_edges,possible_edges,label_conflict_edges
cluster_0001,16,10,6,0,44,30,14,7
cluster_0002,12,6,3,3,25,14,11,0
cluster_0003,9,6,1,2,11,8,3,0
cluster_0004,9,5,2,2,8,6,2,2
cluster_0005,9,6,3,0,10,5,5,0
cluster_0006,8,5,1,2,13,3,10,5
cluster_0007,8,5,1,2,17,17,0,8
cluster_0008,8,5,3,0,15,15,0,9
cluster_0009,7,4,0,3,6,2,4,0
cluster_0010,7,3,2,2,13,10,3,1
cluster_0011,7,4,1,2,14,14,0,0
cluster_0012,7,4,3,0,12,12,0,3
cluster_0013,6,4,0,2,6,1,5,0
cluster_0014,6,3,0,3,9,9,0,3
cluster_0015,6,3,2,1,11,7,4,0
cluster_0016,6,1,3,2,11,11,0,0
cluster_0017,6,3,2,1,11,9,2,6
cluster_0018,6,4,1,1,5,2,3,0
cluster_0019,6,4,1,1,9,9,0,4
cluster_0020,6,4,1,1,7,4,3,3
cluster_0021,6,3,3,0,9,7,2,4
cluster_0022,6,5,1,0,5,5,0,3
cluster_0023,6,5,1,0,5,5,0,3
cluster_0024,6,4,2,0,8,8,0,4
cluster_0025,5,3,0,2,4,1,3,0
cluster_0026,5,1,0,4,4,4,0,2
cluster_0027,5,3,0,2,5,1,4,0
cluster_0028,5,1,2,2,5,2,3,0
cluster_0029,5,3,0,2,5,2,3,2
cluster_0030,5,2,0,3,5,2,3,0
cluster_0031,5,2,1,2,8,8,0,0
cluster_0032,5,4,0,1,4,1,3,2
cluster_0033,5,4,0,1,4,1,3,1
cluster_0034,5,3,0,2,4,4,0,0
cluster_0035,5,2,1,2,5,2,3,2
cluster_0036,5,1,2,2,8,7,1,0
cluster_0037,5,3,2,0,4,3,1,0
cluster_0038,5,4,1,0,4,4,0,1
cluster_0039,5,3,2,0,5,3,2,2
cluster_0040,5,2,3,0,6,6,0,2
cluster_0041,5,4,1,0,4,4,0,0
cluster_0042,5,4,1,0,4,4,0,0
cluster_0043,4,3,0,1,3,2,1,0
cluster_0044,4,3,0,1,3,1,2,0
cluster_0045,4,3,0,1,3,1,2,0
cluster_0046,4,2,0,2,4,2,2,0
cluster_0047,4,2,0,2,3,0,3,0
cluster_0048,4,2,1,1,5,2,3,3
cluster_0049,4,2,1,1,5,5,0,2
cluster_0050,4,2,0,2,3,0,3,0
cluster_0051,4,3,0,1,3,3,0,1
cluster_0052,4,2,0,2,4,4,0,2
cluster_0053,4,2,1,1,3,0,3,0
cluster_0054,4,3,0,1,3,3,0,0
cluster_0055,4,1,2,1,3,2,1,0
cluster_0056,4,3,0,1,3,3,0,1
cluster_0057,4,3,0,1,3,2,1,0
cluster_0058,4,1,1,2,5,3,2,0
cluster_0059,4,2,1,1,4,1,3,0
cluster_0060,4,2,1,1,5,2,3,3
cluster_0061,4,2,1,1,3,1,2,2
cluster_0062,4,1,1,2,4,1,3,0
cluster_0063,4,1,2,1,5,5,0,0
cluster_0064,4,3,1,0,3,2,1,0
cluster_0065,4,2,2,0,3,1,2,1
cluster_0066,4,3,1,0,3,3,0,1
cluster_0067,4,3,1,0,3,3,0,0
cluster_0068,4,3,1,0,3,3,0,0
cluster_0069,3,2,0,1,2,1,1,0
cluster_0070,3,2,0,1,2,1,1,0
cluster_0071,3,1,1,1,3,1,2,0
cluster_0072,3,2,0,1,2,0,2,0
cluster_0073,3,2,0,1,2,0,2,0
cluster_0074,3,1,0,2,2,2,0,1
cluster_0075,3,2,0,1,2,1,1,0
cluster_0076,3,1,1,1,3,3,0,0
cluster_0077,3,1,1,1,2,2,0,1
cluster_0078,3,2,0,1,2,0,2,0
cluster_0079,3,1,0,2,2,2,0,0
cluster_0080,3,1,1,1,3,1,2,0
cluster_0081,3,2,0,1,2,0,2,0
cluster_0082,3,1,1,1,3,3,0,0
cluster_0083,3,1,1,1,2,1,1,0
cluster_0084,3,2,0,1,2,0,2,0
cluster_0085,3,2,0,1,2,2,0,0
cluster_0086,3,2,0,1,2,2,0,1
cluster_0087,3,2,0,1,2,2,0,0
cluster_0088,3,2,0,1,2,0,2,0
cluster_0089,3,2,0,1,2,1,1,0
cluster_0090,3,2,1,0,2,0,2,0
cluster_0091,3,2,1,0,2,0,2,0
cluster_0092,3,2,1,0,2,0,2,0
cluster_0093,3,2,1,0,2,1,1,1
cluster_0094,3,2,1,0,2,2,0,1
cluster_0095,3,2,1,0,2,2,0,2
cluster_0096,3,2,1,0,2,2,0,0
cluster_0097,3,2,1,0,2,2,0,1
cluster_0098,3,2,1,0,2,0,2,0
cluster_0099,3,2,1,0,2,0,2,0
cluster_0100,3,2,1,0,2,2,0,0
cluster_0101,3,1,2,0,2,2,0,0
cluster_0102,3,1,2,0,2,2,0,2
cluster_0103,3,1,2,0,2,2,0,0
cluster_0104,2,1,0,1,1,0,1,0
cluster_0105,2,1,0,1,1,0,1,0
cluster_0106,2,1,0,1,1,0,1,0
cluster_0107,2,1,0,1,1,0,1,0
cluster_0108,2,1,0,1,1,0,1,0
cluster_0109,2,1,0,1,1,0,1,0
cluster_0110,2,0,1,1,1,0,1,0
cluster_0111,2,1,0,1,1,1,0,0
cluster_0112,2,1,0,1,1,1,0,0
cluster_0113,2,1,0,1,1,0,1,0
cluster_0114,2,1,0,1,1,1,0,0
cluster_0115,2,1,0,1,1,0,1,0
cluster_0116,2,1,0,1,1,0,1,0
cluster_0117,2,1,0,1,1,0,1,0
cluster_0118,2,1,0,1,1,1,0,0
cluster_0119,2,1,0,1,1,1,0,0
cluster_0120,2,1,0,1,1,0,1,0
cluster_0121,2,1,0,1,1,0,1,0
cluster_0122,2,0,1,1,1,0,1,0
cluster_0123,2,1,0,1,1,0,1,1
cluster_0124,2,1,0,1,1,0,1,0
cluster_0125,2,1,0,1,1,1,0,0
cluster_0126,2,1,0,1,1,1,0,0
cluster_0127,2,1,0,1,1,1,0,0
cluster_0128,2,1,0,1,1,1,0,1
cluster_0129,2,0,1,1,1,1,0,0
cluster_0130,2,1,0,1,1,0,1,1
cluster_0131,2,1,0,1,1,1,0,0
cluster_0132,2,1,0,1,1,0,1,0
cluster_0133,2,1,0,1,1,0,1,0
cluster_0134,2,1,0,1,1,0,1,0
cluster_0135,2,0,1,1,1,0,1,1
cluster_0136,2,1,0,1,1,1,0,1
cluster_0137,2,1,0,1,1,1,0,0
cluster_0138,2,1,0,1,1,1,0,0
cluster_0139,2,1,0,1,1,1,0,0
cluster_0140,2,1,0,1,1,1,0,1
cluster_0141,2,1,0,1,1,0,1,0
cluster_0142,2,1,0,1,1,1,0,1
cluster_0143,2,1,0,1,1,1,0,0
cluster_0144,2,1,0,1,1,1,0,0
cluster_0145,2,0,1,1,1,0,1,0
cluster_0146,2,1,0,1,1,0,1,0
cluster_0147,2,1,0,1,1,0,1,0
cluster_0148,2,1,0,1,1,1,0,0
cluster_0149,2,1,0,1,1,1,0,0
cluster_0150,2,1,0,1,1,1,0,0
cluster_0151,2,1,0,1,1,0,1,0
cluster_0152,2,1,0,1,1,1,0,0
cluster_0153,2,1,1,0,1,0,1,0
cluster_0154,2,1,1,0,1,0,1,0
cluster_0155,2,1,1,0,1,1,0,0
cluster_0156,2,1,1,0,1,0,1,0
cluster_0157,2,1,1,0,1,1,0,0
cluster_0158,2,1,1,0,1,1,0,0
cluster_0159,2,1,1,0,1,0,1,0
cluster_0160,2,1,1,0,1,0,1,0
cluster_0161,2,1,1,0,1,1,0,0
cluster_0162,2,1,1,0,1,0,1,0
cluster_0163,2,1,1,0,1,1,0,0
cluster_0164,2,1,1,0,1,0,1,0
cluster_0165,2,1,1,0,1,0,1,0
cluster_0166,2,1,1,0,1,0,1,0
cluster_0167,2,1,1,0,1,0,1,0
cluster_0168,2,1,1,0,1,1,0,0
cluster_0169,2,1,1,0,1,0,1,0
cluster_0170,2,1,1,0,1,1,0,0
cluster_0171,2,1,1,0,1,1,0,1
cluster_0172,2,1,1,0,1,1,0,0
cluster_0173,2,1,1,0,1,0,1,0
cluster_0174,2,1,1,0,1,0,1,0
cluster_0175,2,1,1,0,1,1,0,0
cluster_0176,2,1,1,0,1,1,0,0
cluster_0177,2,1,1,0,1,1,0,0
cluster_0178,2,1,1,0,1,0,1,0
cluster_0179,2,1,1,0,1,1,0,0
cluster_0180,2,1,1,0,1,0,1,0
cluster_0181,2,1,1,0,1,0,1,0
cluster_0182,2,1,1,0,1,1,0,0
cluster_0183,2,1,1,0,1,1,0,0
cluster_0184,2,1,1,0,1,0,1,0
cluster_0185,2,1,1,0,1,0,1,1
cluster_0186,2,1,1,0,1,1,0,0
cluster_0187,2,1,1,0,1,0,1,0
cluster_0188,2,1,1,0,1,1,0,1
cluster_0189,2,1,1,0,1,1,0,1
cluster_0190,2,1,1,0,1,0,1,0
cluster_0191,2,1,1,0,1,0,1,0
