split,manifest_row_id,source_group,dataset,label,relative_path,video_sha256,source_id,width,height,fps,frame_count,duration_seconds,sample_frame_indices,phash_crop_0,phash_crop_10,phash_crop_20,decode_status
train,train|RWF-2000|train/NonFight/rwf_train_nonfight_0084.avi,principal_train_clean,RWF-2000,0,train/NonFight/rwf_train_nonfight_0084.avi,d7432429c3f8869eaa400aa65273364c615e158db4effd1cf2e6d5b4b3243b36,,480,360,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,15d27a2d2d3664c9;15d26a2d2d366699;15d24a2d2d3666d9;15d25a2d2d3664d9;17d25a2d2d3466c9;17d25a2d2d34668b;17d25a2d2d34269b;17d24a2d2d36668b;17d24a2d2d36668b,25d65a2b0b266d35;05d45a3b0b276d35;11d45e2b0b276d39;25d55a2b0b246d3d;27d5da2b0b246d31;27d75a2a0b246d35;27d65a2b0b246d35;27d65a2b0b246d35;27d75a2b0b244d35,28d4d5db93562163;2cd4d5d993762063;2cd4d55993666271;20d4d55393666367;20d5d5539645a376;20d5d5539644b36e;20f4d5d3925ca16d;20f4d5d39254b16e;20f4d5d39654a16e,complete
train,train|RLVS|Violence/V_372.mp4,principal_train_clean,RLVS,1,Violence/V_372.mp4,5a3b6bdb38b01b7dfcdcd291192e8632c973bae021488b9f9b7ecf970a77b322,,1280,720,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,20064bd9cf31e6f4;1641ddcec13969e2;1341dcdcc01ee0fe;1843dc9714607f7c;612431c752ee5eb4;742231d34bb6d398;51b54af42cda46ca;431c76e994134c77;5788e2d08f17cee0,2c4656dbc911673c;27709dcef01d60cc;13700ff40f1068ff;1d40ff818ee00efa;692939c1714e4e4f;3c273cc34663079b;502952ad39bdcac6;429473c8bdca8573;1108f3dc8a078ff3,2c6734c29bd1d193;267b09e687133719;037a43ec81bf0673;1c7f7080e5b91b1c;5a2b3cb8b1b094d6;2d259e9b7d616160;1c38d5ab38387caa;52af62cc31cca19d;330c33dc3a0c1f3e,complete
train,train|RWF-2000|val/NonFight/rwf_val_nonfight_0119.avi,principal_train_clean,RWF-2000,0,val/NonFight/rwf_val_nonfight_0119.avi,a33dbbf72a504609b0eab939adf738fc33dd7e9e2f7eb54a32560488bd2e4211,,320,240,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,4baf00505e4d6cf5;4baf00507a4d6cf5;4baf00507e4d6ce5;6baf00507e4d2ce5;4baf00507a4d6cf5;4baf00507a4f2cf5;4baf00507a4f6ce5;4baf00507a4d6de5;5bae00507e4d2de5,5bc3203c535b0f2d;4bc3203c575a1f2d;5bc3203c135b1f2d;5be3203c734a0f2d;5bc3203c735a1b2d;5bc3203c575a1b2d;5be3203c535a1b2d;5bc3203c575a1b2d;5bc3203c575a1b2d,50c0eebeb6d69094;50c0eebeb2d79094;51e0aebeb2d71094;51e0aebeb2d71094;41e0aebfb6971094;50e0aebeb6d71094;50e0aebeb6d71094;50e0aebeb6d71094;50e0aebeb6d71094,complete
train,train|RLVS|Violence/V_374.mp4,principal_train_clean,RLVS,1,Violence/V_374.mp4,a37084055a942ad5504c41ba7170494a58ffe1da0eb96e7e18fecc08c001d0a6,,1280,720,30.000000,153,5.100000,8;25;42;59;76;93;110;127;144,61419c6709be66e9;610094672e9becf6;6176d665019a6de4;647598c4661b59ec;3008cf73348c73f6;3405cbe66c194bce;24219bf3e68d49cc;65299b93e4e47262;292a9211edccede4,635c9461993766d2;691c9461151b6fd6;61369465921a6fe5;672998e466131b6e;340cc9732c896fe6;3419c366ee39c19c;240d99b2e63b6b13;682a9293cdace566;7a1a9613cd8d8a8e,639cad4998296766;6a9c966c9c4a65b4;7b1f846b94160d4b;633b9ced64921236;3e0cd1338e381fc6;2d19d0e667710b2e;2d0d98b6a6740f1b;6a5e96138c98c96d;5a57b531a938b0b8,complete
train,train|RWF-2000|train/Fight/rwf_train_fight_0548.avi,principal_train_clean,RWF-2000,1,train/Fight/rwf_train_fight_0548.avi,38841138e512887d0768787baf3dcb465c1f53da367d04925c8af27f26ec33ca,,640,360,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,29a3902cf449f979;29e5d032b84c997b;21e5d232d95cb919;2365d112f816d95b;296dd233d992f049;2969d232ec16f169;2961d336ec16f059;2169d236ec96e079;216dd033ec94f159,2bb39125b4c6b529;2ae9d13495c59729;22ebb5359ea59109;2268f131b4b79939;2a6895338db4f931;2a699275cd86d127;2aea9260cda4f50f;226b93658d87b709;226b937284a5fd07,52f0d32947ceb096;44daf9344ce548ad;6152a13246e6f3f4;164ee13064a76d7a;1b4eb451858ee8bc;195ab57926dc89b0;13d2b478caf480b7;315ab77d4ae40b90;634b9177c7fc0c20,complete
train,train|RLVS|NonViolence/NV_833.mp4,principal_train_clean,RLVS,0,NonViolence/NV_833.mp4,cc807f007fce67ff4d3358ffb76dafc6f738151a1f8ad7a93c8f1e849ccaf61a,,854,480,25.000000,134,5.360000,7;22;37;52;66;81;96;111;126,573ad052a4e46b0f;563e85522ce46b1d;563e85522ce5631d;573e85522ce4631b;573e85522ce4611f;573e85562de56209;573e85562d856269;573e95562d846269;573e94562d856269,1418d554adf5b60b;153e9154ade5e00f;353c81558de5f00f;153c91548de5f80f;153e91548de5e80f;353f81558de5e00b;353e91558da5e069;353e95558db5e028;353e94558da5e02e,351b9b15c8bda560;350eb21588fd9d64;350ef21588edbd44;3506b2158aedbd46;350eb21582e9bd47;3506f21588e9bdcc;350eb25588a9bdcc;3406b65588a9bdcd;3206b45589e9bd8d,complete
train,train|RLVS|Violence/V_56.mp4,principal_train_clean,RLVS,1,Violence/V_56.mp4,fa4407362436a31a6beb1e13745a12c6b4639810a01006ac7cef6f1c23017924,,406,514,30.000000,108,3.600000,5;17;29;41;53;66;78;90;102,333f98f8b03849c5;262f99f8b03303c7;3727d8f8b0390ccc;332fccf8b0390ce4;3c2ecff1b0310bc4;3f39d0d096272273;393b9bd6f4262602;392898daf6a73213;3e2e1cc9f1b31918,2323d9d8bc1a1e0f;2623cbdcbc1e1b09;2323c9fcb03b1b1c;3307cefeb01a1919;3c0ecfc7b0321b1c;0f39d8df8f860056;3b3b1bd3f0e42444;293d19dcf4e4b406;2e2e0ec6e3f3b110,2020d1c8fcbc97cf;2020d0c9fcbe97cb;2121c9ccfc9fd438;3021c3e6e6c6d38b;3e0cc1c7fef01119;00395f9bc0ac4dcf;38381393dbbaf242;29291999d9ecec64;27070686c7e3f3c1,complete
train,train|RWF-2000|train/NonFight/rwf_train_nonfight_0321.avi,principal_train_clean,RWF-2000,0,train/NonFight/rwf_train_nonfight_0321.avi,1897f32aecf66456f5c17d8c0b89061b48850fc08083c635fc05a0d7a62ce909,,320,240,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43;73b8b147d6b04a43,73bdb94194344353;6bbdb94194344353;6bbdb94194344353;7abdb94194344353;6bbdb94194344353;6bbdb94194344353;6bbdb94194344353;6bbdb94194344353;6bbdb94194344353,739b3ac0ac7cc843;739b38d0ac7cc843;739b38d0ac7cc843;739b38d0ac7cc843;739b38d0ac7cc843;739b38d0ac7cc843;739b38d0ac7cc843;739b38c0ac7cc8c3;739b38c0ac7cc863,complete
train,train|RLVS|NonViolence/NV_965.mp4,principal_train_clean,RLVS,0,NonViolence/NV_965.mp4,4d7ba2818039cc9b5268a19eba7caa27b6b431d41ba7d73524ac31dc57f6e829,,224,224,29.000000,145,5.000000,7;23;40;56;72;88;104;121;137,7e910c48bf745961;7a910e48bfe44971;6a950c48bf745965;6a810d48bff45965;6a910e58bfe45961;6a950c68bfe45961;6a950c68fee45961;6a950c699ee45971;6a940c799ee45b61,75824d1aa43c6bb5;7583451aa4e54b3d;75824d5aa5947b31;74834d18a7b45bb1;75834c18a7a47b39;74834c58a7b55a33;7683491aa7a47b31;7687481b85a47b39;768e491ba4a45b39,24a35cd2adce4197;34e3cc52acc64b9c;74a34cd3acce1a91;64e358d3acce42d1;34e34c5bacc64a95;74e34c52a9cc2ad5;64a358d2adce1395;74e75c91adc66214;748e51d2adc662d4,complete
train,train|RLVS|Violence/V_449.mp4,principal_train_clean,RLVS,1,Violence/V_449.mp4,1ec50eee56d0d2ebf2b09926a2ff1fd2d1be0c577a6042fd13541676da053882,,1280,720,30.000000,141,4.700000,7;23;38;54;70;86;102;117;133,4e3399cec6ce0199;4c66986366cd6633;1966cc3166c76366;1966cc9931719bc6;194ccc9b33678e8c;1964cc3366ce9999;1bcc9931cc333399;4ece33cc88999933;1bce332333999931,4e3399668666e646;4e66986338cd6663;1be6cc3834933339;1b66cc9b293998cc;1b6ccd9a316392cc;1a6c9b3166666c39;1bcc9bc9cc3232cc;4ec633cc69ce1833;1bce346733883333,4632999b986ec666;47c6993398cc9939;1be6c92cccc73033;1264c6d365333c5d;126dcc9e493331c7;12ce9a39c7666c34;43ce93c9cd3330c6;4667331863ce1ecc;43cecc6367cc30c5,complete
