review_id,cluster_id,node_id,split,dataset,relative_path,sha256,original_label,conflict_pair_count,reviewed_label,review_decision,visual_evidence
V001,cluster_0001,validation|RWF-2000|train/Fight/rwf_train_fight_0270.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0270.avi,febda1518a536aafc28ec70cfe128ff22c72bfe4463fe7201e66c9098051ad2b,1,1,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V002,cluster_0001,validation|RWF-2000|train/Fight/rwf_train_fight_0273.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0273.avi,078172332afa26e1668a25a033ed29d325050598c8d854537922a50375f1051f,1,1,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V003,cluster_0001,validation|RWF-2000|train/Fight/rwf_train_fight_0275.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0275.avi,5e3356123499b12a4fc7187de49b6108558ed3c76099cc6a6d971ca35ebd67bd,1,1,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V004,cluster_0001,validation|RWF-2000|train/Fight/rwf_train_fight_0277.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0277.avi,d24a31d300a73f10a29400bf4bba720e8a45bcb7b8ca9e292c7b450fa7d9633a,1,1,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V005,cluster_0001,train|RWF-2000|train/NonFight/rwf_train_nonfight_0298.avi,train,RWF-2000,train/NonFight/rwf_train_nonfight_0298.avi,e53df4ebd681c438144869409c0f09170409783d7eaec72533ca6711d3ab7464,0,4,0,confirmed_non_violence,Revue de 9 instants repartis sur tout le clip; aucune interaction physique agressive visible dans ce segment.
V006,cluster_0004,validation|RWF-2000|train/Fight/rwf_train_fight_0456.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0456.avi,5e314e6360b8558f0f3bd580f6f7ed4c2fd5219b1cbc1be208898ed1232570f5,1,1,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V007,cluster_0004,train|RWF-2000|train/NonFight/rwf_train_nonfight_0519.avi,train,RWF-2000,train/NonFight/rwf_train_nonfight_0519.avi,b49f4da4d81e15600c32055db3556e5ba8f956abcc635c9623535d8f6e130e13,0,1,0,confirmed_non_violence,Revue de 9 instants repartis sur tout le clip; aucune interaction physique agressive visible dans ce segment.
V008,cluster_0006,validation|RWF-2000|train/Fight/rwf_train_fight_0077.avi,validation,RWF-2000,train/Fight/rwf_train_fight_0077.avi,d7e95c2754354e5beb388b25ec792958225aa63d7d818fa1a8242e7297640cfa,1,2,1,confirmed_violence,"Revue de 9 instants repartis sur tout le clip; interaction physique agressive, lutte, poursuite ou menace visible dans le segment."
V009,cluster_0006,train|RWF-2000|train/NonFight/rwf_train_nonfight_0085.avi,train,RWF-2000,train/NonFight/rwf_train_nonfight_0085.avi,a2b89af9d0db12cde7f93b761bf5f9d92accb5b5d10e8b3a75155dc7c137530b,0,1,0,confirmed_non_violence,Revue de 9 instants repartis sur tout le clip; aucune interaction physique agressive visible dans ce segment.
V010,cluster_0006,train|RWF-2000|train/NonFight/rwf_train_nonfight_0086.avi,train,RWF-2000,train/NonFight/rwf_train_nonfight_0086.avi,6908bf3882b2997e5e8ebb73b2d178c4a6020d1878b538a310752aafeec0a739,0,1,0,confirmed_non_violence,Revue de 9 instants repartis sur tout le clip; aucune interaction physique agressive visible dans ce segment.
