scene_group_id,group_origin,perceptual_cluster_ids,size,label_0_count,label_1_count,old_train_count,old_validation_count,old_test_count,new_split,moved_count
cluster_0001,perceptual_near_duplicate,cluster_0001,16,4,12,10,6,0,train,6
cluster_0002,perceptual_near_duplicate,cluster_0002,12,12,0,6,3,3,train,6
cluster_0003,perceptual_near_duplicate,cluster_0003,9,9,0,6,1,2,train,3
cluster_0004,perceptual_near_duplicate,cluster_0004,9,2,7,5,2,2,train,4
cluster_0005,perceptual_near_duplicate,cluster_0005,9,9,0,6,3,0,train,3
cluster_0006,perceptual_near_duplicate,cluster_0006,8,2,6,5,1,2,train,3
cluster_0007,perceptual_near_duplicate,cluster_0007,8,2,6,5,1,2,train,3
cluster_0008,perceptual_near_duplicate,cluster_0008,8,3,5,5,3,0,train,3
cluster_0009,perceptual_near_duplicate,cluster_0009,7,7,0,4,0,3,train,3
cluster_0010,perceptual_near_duplicate,cluster_0010,7,1,6,3,2,2,test,5
cluster_0011,perceptual_near_duplicate,cluster_0011,7,0,7,4,1,2,train,3
cluster_0012,perceptual_near_duplicate,cluster_0012,7,1,6,4,3,0,validation,4
cluster_0013,perceptual_near_duplicate,cluster_0013,6,6,0,4,0,2,train,2
cluster_0014,perceptual_near_duplicate,cluster_0014,6,1,5,3,0,3,test,3
cluster_0015,perceptual_near_duplicate,cluster_0015,6,0,6,3,2,1,validation,4
cluster_0016,perceptual_near_duplicate,cluster_0016,6,0,6,1,3,2,validation,3
cluster_0017,perceptual_near_duplicate,cluster_0017,6,2,4,3,2,1,train,3
cluster_0018,perceptual_near_duplicate,cluster_0018,6,0,6,4,1,1,train,2
cluster_0019,perceptual_near_duplicate,cluster_0019,6,4,2,4,1,1,train,2
cluster_0020,perceptual_near_duplicate,cluster_0020,6,1,5,4,1,1,train,2
cluster_0021,perceptual_near_duplicate,cluster_0021,6,2,4,3,3,0,validation,3
cluster_0022,perceptual_near_duplicate,cluster_0022,6,3,3,5,1,0,train,1
cluster_0023,perceptual_near_duplicate,cluster_0023,6,3,3,5,1,0,train,1
cluster_0024,perceptual_near_duplicate,cluster_0024,6,1,5,4,2,0,train,2
cluster_0025,perceptual_near_duplicate,cluster_0025,5,5,0,3,0,2,train,2
cluster_0026,perceptual_near_duplicate,cluster_0026,5,3,2,1,0,4,test,1
cluster_0027,perceptual_near_duplicate,cluster_0027,5,0,5,3,0,2,train,2
cluster_0028,perceptual_near_duplicate,cluster_0028,5,0,5,1,2,2,test,3
cluster_0029,perceptual_near_duplicate,cluster_0029,5,1,4,3,0,2,train,2
cluster_0030,perceptual_near_duplicate,cluster_0030,5,0,5,2,0,3,test,2
cluster_0031,perceptual_near_duplicate,cluster_0031,5,0,5,2,1,2,test,3
cluster_0032,perceptual_near_duplicate,cluster_0032,5,2,3,4,0,1,train,1
cluster_0033,perceptual_near_duplicate,cluster_0033,5,1,4,4,0,1,train,1
cluster_0034,perceptual_near_duplicate,cluster_0034,5,0,5,3,0,2,train,2
cluster_0035,perceptual_near_duplicate,cluster_0035,5,2,3,2,1,2,test,3
cluster_0036,perceptual_near_duplicate,cluster_0036,5,0,5,1,2,2,test,3
cluster_0037,perceptual_near_duplicate,cluster_0037,5,5,0,3,2,0,train,2
cluster_0038,perceptual_near_duplicate,cluster_0038,5,4,1,4,1,0,train,1
cluster_0039,perceptual_near_duplicate,cluster_0039,5,3,2,3,2,0,train,2
cluster_0040,perceptual_near_duplicate,cluster_0040,5,1,4,2,3,0,validation,2
cluster_0041,perceptual_near_duplicate,cluster_0041,5,0,5,4,1,0,train,1
cluster_0042,perceptual_near_duplicate,cluster_0042,5,0,5,4,1,0,train,1
cluster_0043,perceptual_near_duplicate,cluster_0043,4,4,0,3,0,1,train,1
cluster_0044,perceptual_near_duplicate,cluster_0044,4,4,0,3,0,1,train,1
cluster_0045,perceptual_near_duplicate,cluster_0045,4,4,0,3,0,1,train,1
cluster_0046,perceptual_near_duplicate,cluster_0046,4,4,0,2,0,2,test,2
cluster_0047,perceptual_near_duplicate,cluster_0047,4,4,0,2,0,2,test,2
cluster_0048,perceptual_near_duplicate,cluster_0048,4,3,1,2,1,1,train,2
cluster_0049,perceptual_near_duplicate,cluster_0049,4,1,3,2,1,1,train,2
cluster_0050,perceptual_near_duplicate,cluster_0050,4,0,4,2,0,2,test,2
cluster_0051,perceptual_near_duplicate,cluster_0051,4,1,3,3,0,1,train,1
cluster_0052,perceptual_near_duplicate,cluster_0052,4,3,1,2,0,2,test,2
cluster_0053,perceptual_near_duplicate,cluster_0053,4,0,4,2,1,1,validation,3
cluster_0054,perceptual_near_duplicate,cluster_0054,4,0,4,3,0,1,train,1
cluster_0055,perceptual_near_duplicate,cluster_0055,4,0,4,1,2,1,validation,2
cluster_0056,perceptual_near_duplicate,cluster_0056,4,3,1,3,0,1,train,1
cluster_0057,perceptual_near_duplicate,cluster_0057,4,4,0,3,0,1,train,1
cluster_0058,perceptual_near_duplicate,cluster_0058,4,4,0,1,1,2,test,2
cluster_0059,perceptual_near_duplicate,cluster_0059,4,4,0,2,1,1,train,2
cluster_0060,perceptual_near_duplicate,cluster_0060,4,2,2,2,1,1,train,2
cluster_0061,perceptual_near_duplicate,cluster_0061,4,1,3,2,1,1,train,2
cluster_0062,perceptual_near_duplicate,cluster_0062,4,0,4,1,1,2,test,2
cluster_0063,perceptual_near_duplicate,cluster_0063,4,0,4,1,2,1,validation,2
cluster_0064,perceptual_near_duplicate,cluster_0064,4,4,0,3,1,0,train,1
cluster_0065,perceptual_near_duplicate,cluster_0065,4,4,0,2,2,0,validation,2
cluster_0066,perceptual_near_duplicate,cluster_0066,4,1,3,3,1,0,train,1
cluster_0067,perceptual_near_duplicate,cluster_0067,4,0,4,3,1,0,train,1
cluster_0068,perceptual_near_duplicate,cluster_0068,4,0,4,3,1,0,train,1
cluster_0069,perceptual_near_duplicate,cluster_0069,3,3,0,2,0,1,train,1
cluster_0070,perceptual_near_duplicate,cluster_0070,3,3,0,2,0,1,train,1
cluster_0071,perceptual_near_duplicate,cluster_0071,3,3,0,1,1,1,test,2
cluster_0072,perceptual_near_duplicate,cluster_0072,3,3,0,2,0,1,train,1
cluster_0073,perceptual_near_duplicate,cluster_0073,3,0,3,2,0,1,train,1
cluster_0074,perceptual_near_duplicate,cluster_0074,3,1,2,1,0,2,test,1
cluster_0075,perceptual_near_duplicate,cluster_0075,3,0,3,2,0,1,train,1
cluster_0076,perceptual_near_duplicate,cluster_0076,3,0,3,1,1,1,test,2
cluster_0077,perceptual_near_duplicate,cluster_0077,3,3,0,1,1,1,validation,2
cluster_0078,perceptual_near_duplicate,cluster_0078,3,0,3,2,0,1,train,1
cluster_0079,perceptual_near_duplicate,cluster_0079,3,0,3,1,0,2,test,1
cluster_0080,perceptual_near_duplicate,cluster_0080,3,3,0,1,1,1,validation,2
cluster_0081,perceptual_near_duplicate,cluster_0081,3,3,0,2,0,1,train,1
cluster_0082,perceptual_near_duplicate,cluster_0082,3,3,0,1,1,1,validation,2
cluster_0083,perceptual_near_duplicate,cluster_0083,3,3,0,1,1,1,validation,2
cluster_0084,perceptual_near_duplicate,cluster_0084,3,0,3,2,0,1,train,1
cluster_0085,perceptual_near_duplicate,cluster_0085,3,0,3,2,0,1,train,1
cluster_0086,perceptual_near_duplicate,cluster_0086,3,1,2,2,0,1,train,1
cluster_0087,perceptual_near_duplicate,cluster_0087,3,0,3,2,0,1,train,1
cluster_0088,perceptual_near_duplicate,cluster_0088,3,0,3,2,0,1,train,1
cluster_0089,perceptual_near_duplicate,cluster_0089,3,0,3,2,0,1,train,1
cluster_0090,perceptual_near_duplicate,cluster_0090,3,3,0,2,1,0,train,1
cluster_0091,perceptual_near_duplicate,cluster_0091,3,3,0,2,1,0,train,1
cluster_0092,perceptual_near_duplicate,cluster_0092,3,3,0,2,1,0,train,1
cluster_0093,perceptual_near_duplicate,cluster_0093,3,2,1,2,1,0,train,1
cluster_0094,perceptual_near_duplicate,cluster_0094,3,1,2,2,1,0,train,1
cluster_0095,perceptual_near_duplicate,cluster_0095,3,2,1,2,1,0,train,1
cluster_0096,perceptual_near_duplicate,cluster_0096,3,0,3,2,1,0,train,1
cluster_0097,perceptual_near_duplicate,cluster_0097,3,2,1,2,1,0,train,1
cluster_0098,perceptual_near_duplicate,cluster_0098,3,0,3,2,1,0,train,1
cluster_0099,perceptual_near_duplicate,cluster_0099,3,0,3,2,1,0,train,1
cluster_0100,perceptual_near_duplicate,cluster_0100,3,3,0,2,1,0,train,1
cluster_0101,perceptual_near_duplicate,cluster_0101,3,3,0,1,2,0,validation,1
cluster_0102,perceptual_near_duplicate,cluster_0102,3,3,0,1,2,0,validation,1
cluster_0103,perceptual_near_duplicate,cluster_0103,3,3,0,1,2,0,validation,1
cluster_0104,perceptual_near_duplicate,cluster_0104,2,2,0,1,0,1,test,1
cluster_0105,perceptual_near_duplicate,cluster_0105,2,2,0,1,0,1,train,1
cluster_0106,perceptual_near_duplicate,cluster_0106,2,2,0,1,0,1,test,1
cluster_0107,perceptual_near_duplicate,cluster_0107,2,2,0,1,0,1,test,1
cluster_0108,perceptual_near_duplicate,cluster_0108,2,2,0,1,0,1,test,1
cluster_0109,perceptual_near_duplicate,cluster_0109,2,2,0,1,0,1,test,1
cluster_0110,perceptual_near_duplicate,cluster_0110,2,2,0,0,1,1,test,1
cluster_0111,perceptual_near_duplicate,cluster_0111,2,2,0,1,0,1,test,1
cluster_0112,perceptual_near_duplicate,cluster_0112,2,2,0,1,0,1,test,1
cluster_0113,perceptual_near_duplicate,cluster_0113,2,2,0,1,0,1,test,1
cluster_0114,perceptual_near_duplicate,cluster_0114,2,2,0,1,0,1,test,1
cluster_0115,perceptual_near_duplicate,cluster_0115,2,2,0,1,0,1,test,1
cluster_0116,perceptual_near_duplicate,cluster_0116,2,2,0,1,0,1,test,1
cluster_0117,perceptual_near_duplicate,cluster_0117,2,2,0,1,0,1,test,1
cluster_0118,perceptual_near_duplicate,cluster_0118,2,2,0,1,0,1,test,1
cluster_0119,perceptual_near_duplicate,cluster_0119,2,2,0,1,0,1,train,1
cluster_0120,perceptual_near_duplicate,cluster_0120,2,0,2,1,0,1,test,1
cluster_0121,perceptual_near_duplicate,cluster_0121,2,0,2,1,0,1,test,1
cluster_0122,perceptual_near_duplicate,cluster_0122,2,0,2,0,1,1,validation,1
cluster_0123,perceptual_near_duplicate,cluster_0123,2,1,1,1,0,1,test,1
cluster_0124,perceptual_near_duplicate,cluster_0124,2,0,2,1,0,1,test,1
cluster_0125,perceptual_near_duplicate,cluster_0125,2,0,2,1,0,1,test,1
cluster_0126,perceptual_near_duplicate,cluster_0126,2,0,2,1,0,1,test,1
cluster_0127,perceptual_near_duplicate,cluster_0127,2,0,2,1,0,1,test,1
cluster_0128,perceptual_near_duplicate,cluster_0128,2,2,0,1,0,1,test,1
cluster_0129,perceptual_near_duplicate,cluster_0129,2,0,2,0,1,1,validation,1
cluster_0130,perceptual_near_duplicate,cluster_0130,2,1,1,1,0,1,test,1
cluster_0131,perceptual_near_duplicate,cluster_0131,2,0,2,1,0,1,test,1
cluster_0132,perceptual_near_duplicate,cluster_0132,2,0,2,1,0,1,test,1
cluster_0133,perceptual_near_duplicate,cluster_0133,2,0,2,1,0,1,test,1
cluster_0134,perceptual_near_duplicate,cluster_0134,2,0,2,1,0,1,test,1
cluster_0135,perceptual_near_duplicate,cluster_0135,2,1,1,0,1,1,validation,1
cluster_0136,perceptual_near_duplicate,cluster_0136,2,1,1,1,0,1,train,1
cluster_0137,perceptual_near_duplicate,cluster_0137,2,2,0,1,0,1,test,1
cluster_0138,perceptual_near_duplicate,cluster_0138,2,2,0,1,0,1,test,1
cluster_0139,perceptual_near_duplicate,cluster_0139,2,2,0,1,0,1,test,1
cluster_0140,perceptual_near_duplicate,cluster_0140,2,1,1,1,0,1,test,1
cluster_0141,perceptual_near_duplicate,cluster_0141,2,2,0,1,0,1,test,1
cluster_0142,perceptual_near_duplicate,cluster_0142,2,1,1,1,0,1,train,1
cluster_0143,perceptual_near_duplicate,cluster_0143,2,2,0,1,0,1,test,1
cluster_0144,perceptual_near_duplicate,cluster_0144,2,2,0,1,0,1,test,1
cluster_0145,perceptual_near_duplicate,cluster_0145,2,2,0,0,1,1,validation,1
cluster_0146,perceptual_near_duplicate,cluster_0146,2,0,2,1,0,1,test,1
cluster_0147,perceptual_near_duplicate,cluster_0147,2,0,2,1,0,1,test,1
cluster_0148,perceptual_near_duplicate,cluster_0148,2,0,2,1,0,1,test,1
cluster_0149,perceptual_near_duplicate,cluster_0149,2,0,2,1,0,1,test,1
cluster_0150,perceptual_near_duplicate,cluster_0150,2,2,0,1,0,1,train,1
cluster_0151,perceptual_near_duplicate,cluster_0151,2,2,0,1,0,1,test,1
cluster_0152,perceptual_near_duplicate,cluster_0152,2,2,0,1,0,1,test,1
