scene_group_id,group_origin,dataset,relative_path,sha256,label,original_label,label_corrected,previous_split,new_split,split_changed
singleton_0001,singleton,RLVS,NonViolence/NV_1.mp4,dc12a32b655938561b38f0bae13bc45921322d6a03d8bd57764c085814e037b7,0,0,0,train,train,0
singleton_0002,singleton,RLVS,NonViolence/NV_10.mp4,cc2c82215458bb6e45aea47de2711f68d2b9c9e63a5814ca24b09a7392e5e763,0,0,0,test,test,0
singleton_0003,singleton,RLVS,NonViolence/NV_100.mp4,10d0fde2197315feb13157197d90f59ad99f966d5f8e259d3d0a71c1fff4d165,0,0,0,train,train,0
cluster_0064,perceptual_near_duplicate,RLVS,NonViolence/NV_1000.mp4,9e2634193ffe1f674dcb24da2e4ff1920f625e068075ecba6447a0d6bc593042,0,0,0,train,train,0
singleton_0004,singleton,RLVS,NonViolence/NV_101.mp4,286477f34d6fbf2529f5fea0bfb9b5bf6d559bb1e9bb2af974ce78a35a03fe60,0,0,0,train,train,0
singleton_0005,singleton,RLVS,NonViolence/NV_102.mp4,ff1a37867a26ef9a5c24214ae3a83a3ab37e7340c20917d1c49c9e4d5fe1c702,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_103.mp4,fe91c812adf91eb8ee366f347ec096f737b9ec39711a45041c0961b89fa7ccbf,0,0,0,test,train,1
singleton_0006,singleton,RLVS,NonViolence/NV_104.mp4,91071a9984e741cb9bcf7575a3594be1e968bf4a9788ad3c0915b78b637f41d3,0,0,0,train,train,0
singleton_0007,singleton,RLVS,NonViolence/NV_105.mp4,f84f2e51381a3ddd55f3494144657f0b6751ff16c50cbd8b7abdf55db1c25a3d,0,0,0,train,train,0
singleton_0008,singleton,RLVS,NonViolence/NV_106.mp4,cb858decbbf88881abe8802f206726574a2aadf729646ac14a9ac9072c82cbca,0,0,0,train,train,0
singleton_0009,singleton,RLVS,NonViolence/NV_107.mp4,149c7e1856e0673a684c463aa4c2262e3b31f2e94586c324e926aed0f3354cd9,0,0,0,test,test,0
singleton_0010,singleton,RLVS,NonViolence/NV_108.mp4,0ff09a0684487731e956174a29dbacfb8cd7bc4d89b8e9da3f9dbdcefba973d5,0,0,0,validation,validation,0
singleton_0011,singleton,RLVS,NonViolence/NV_109.mp4,b22b734265432baf1ae4d3dc73f8070bf0f134499a841a30a739e40901210b97,0,0,0,test,test,0
singleton_0012,singleton,RLVS,NonViolence/NV_11.mp4,18b26dffa924186e0786009a14f792aee7747de9bf6ce96b0643e08415323c8b,0,0,0,train,train,0
singleton_0013,singleton,RLVS,NonViolence/NV_110.mp4,79864df1a7bb8bec32b35561ba597a1e99598401d2eca9305c33a432811c7b9e,0,0,0,test,test,0
singleton_0014,singleton,RLVS,NonViolence/NV_111.mp4,94cf4a359148f1b3aaac3ded37b04a5d1add4abf85f251f26d9219734ca38f7c,0,0,0,train,train,0
singleton_0015,singleton,RLVS,NonViolence/NV_112.mp4,3cc250a6b99fe783b653faf9edacc2ae52fcaafc5d4c1b438af6ab3adaa3490c,0,0,0,train,train,0
singleton_0016,singleton,RLVS,NonViolence/NV_113.mp4,b306e92923cf1915c5db0ea2ce70fb2853cffc5350e6ff68419c395351bb05d7,0,0,0,train,train,0
singleton_0017,singleton,RLVS,NonViolence/NV_114.mp4,2b552e81591e68860721aa69452d2dcaff8ee1c6eb1ef9d5c1d3addcc508e407,0,0,0,train,train,0
singleton_0018,singleton,RLVS,NonViolence/NV_115.mp4,79be656a14f7ea2656c4ac8df8463423cd05c85824bb3877081d9dc86b24da13,0,0,0,train,train,0
singleton_0019,singleton,RLVS,NonViolence/NV_116.mp4,0e506af4910cbcbe61af11ee559eb901f8e890d3bb062f68a645f466b7d19e53,0,0,0,test,test,0
singleton_0020,singleton,RLVS,NonViolence/NV_117.mp4,0b17a95e253eb493e7302bbc0b62c2c8a1c2aac5f24103a9820c9b90ab97d892,0,0,0,test,test,0
singleton_0021,singleton,RLVS,NonViolence/NV_118.mp4,730e949a695f4f059ba103ce632274961b9d979495798b93edbdc9ef2e22d246,0,0,0,train,train,0
singleton_0022,singleton,RLVS,NonViolence/NV_119.mp4,fe59071baa247b60e989a471183afda497c17dbce9d9d89f112efc5ad50b227f,0,0,0,train,train,0
singleton_0023,singleton,RLVS,NonViolence/NV_12.mp4,f7bd31cfdb5eff1b8bfe9b3811a45a066a3ddfc587a35d5779a7ed89aff3c1e5,0,0,0,train,train,0
singleton_0024,singleton,RLVS,NonViolence/NV_120.mp4,2115c3e1f7a4dddf622ff9bd12a70318ad2636791e4277808d482b60bbec0c87,0,0,0,test,test,0
singleton_0025,singleton,RLVS,NonViolence/NV_121.mp4,7e7d7a714c1d14ee4b09ab12edb14a80593e3078180df623bc7be88bd1780771,0,0,0,train,train,0
singleton_0026,singleton,RLVS,NonViolence/NV_122.mp4,51c1e1992e9682eb2aeee845f786c19714c0590b55e70857132311b0004e820f,0,0,0,test,test,0
singleton_0027,singleton,RLVS,NonViolence/NV_123.mp4,ef181bae15ed15154d7084117bbfee3fb16fbca5b87026c5ce5bb472dd293f78,0,0,0,test,test,0
singleton_0028,singleton,RLVS,NonViolence/NV_124.mp4,eaae4e2f80a0105a44b7be352b6c7e29cbbc5663bf1d9f3e99e9060bff395e06,0,0,0,train,train,0
singleton_0029,singleton,RLVS,NonViolence/NV_125.mp4,36503bf33b65c554e280a618fe2d288d0183d552525e25dbb020a9d2443e6b99,0,0,0,train,train,0
singleton_0030,singleton,RLVS,NonViolence/NV_126.mp4,cbf12a8fefaed0a66d6839971880da29bc451b1da735dbe6b66439b8782f920e,0,0,0,train,train,0
singleton_0031,singleton,RLVS,NonViolence/NV_127.mp4,effb3b01011d136130336d132b7f49e5d590a8c0b783b5f93822df390003fd41,0,0,0,train,train,0
singleton_0032,singleton,RLVS,NonViolence/NV_128.mp4,61cd0eedee1ffaa57f260ae72e820dc9cf7721ac63dab4f420872ae00374fb5b,0,0,0,validation,validation,0
singleton_0033,singleton,RLVS,NonViolence/NV_129.mp4,5d9513825464d3c6e5029f2c3fd39dc8e801e0574e75d2961252d3de6b1c1ab6,0,0,0,validation,validation,0
singleton_0034,singleton,RLVS,NonViolence/NV_13.mp4,789ae1f2047cb5edecc674cabfbcdc9169421accb65b1a3a8d01870baec85819,0,0,0,train,train,0
singleton_0035,singleton,RLVS,NonViolence/NV_130.mp4,5ea2202203e7e265f75e74c74e996ad042d8b046b92c47c9a8f1473047d2df23,0,0,0,train,train,0
singleton_0036,singleton,RLVS,NonViolence/NV_131.mp4,742a3b299c1b136eb35d47605ac0f291be725606003d1e49f926fbf16b6d99f8,0,0,0,validation,validation,0
singleton_0037,singleton,RLVS,NonViolence/NV_132.mp4,65fe610523c150984f8a4197f4ea46ce44895409bd1fc8610d6b7c77ba5aa14a,0,0,0,train,train,0
singleton_0038,singleton,RLVS,NonViolence/NV_133.mp4,b18cdb7933f4037bc28882edc2ed882b56836b6410970f923ec677c3e7df9936,0,0,0,validation,validation,0
singleton_0039,singleton,RLVS,NonViolence/NV_134.mp4,65cc09dd213d961079ece542ecbf4d583ca984d58e12a2321c1256aa0e9f1677,0,0,0,validation,validation,0
singleton_0040,singleton,RLVS,NonViolence/NV_135.mp4,d606afd67c751fb51fd726dea8e331a14b5e9778d0cc63282b23eed4f968e605,0,0,0,train,train,0
singleton_0041,singleton,RLVS,NonViolence/NV_136.mp4,85319bca305a2b2fb512726edbd1fe0b227943dce10471f1b579e398a908081d,0,0,0,train,train,0
singleton_0042,singleton,RLVS,NonViolence/NV_137.mp4,0b893ffcb564d3f11badd8c6ed3263798d92dfe353e69665d1e6c59531dd4e31,0,0,0,test,test,0
singleton_0043,singleton,RLVS,NonViolence/NV_138.mp4,8ce4ef71e5aa2c02e9890912659ff2adcf15b23dc33e4654658c2e95a8b03cfd,0,0,0,train,train,0
singleton_0044,singleton,RLVS,NonViolence/NV_139.mp4,0c80b233e10b55f9fc4b83691ce20888a4fe827ee7485c63164248bc5b656a88,0,0,0,train,train,0
singleton_0045,singleton,RLVS,NonViolence/NV_14.mp4,6fecd99cf9e8028ced6c9ed42e85bb2f2f07f8ec2ebb2331c33b2115089e3fd6,0,0,0,test,test,0
singleton_0046,singleton,RLVS,NonViolence/NV_140.mp4,83e8f1c74b62369404b824fc5dc9adf8d1477fe7e01012f857939362d76fa836,0,0,0,train,train,0
singleton_0047,singleton,RLVS,NonViolence/NV_141.mp4,80b87d299d8d1c0ab379d2a59cc4c70dd55cd1ba7205761ca4f2b82af3f940d6,0,0,0,train,train,0
singleton_0048,singleton,RLVS,NonViolence/NV_142.mp4,846412d7a6f0530cdf3aae3beab341b65b1084c7488803ae27e04b0ddb73a944,0,0,0,train,train,0
singleton_0049,singleton,RLVS,NonViolence/NV_143.mp4,8e971c26fb3d2ba3d0e2bfd3fc034851ed60cdcbc0c3759e7e012d3986ac16b0,0,0,0,train,train,0
singleton_0050,singleton,RLVS,NonViolence/NV_144.mp4,ab2b7109bdc0d37fa771ea067845b20a665c08f751c0497f5f4183dbaa1f7bce,0,0,0,validation,validation,0
singleton_0051,singleton,RLVS,NonViolence/NV_145.mp4,f502b47187097fbde59c761fde022b11b2f36cad05e19b9052b58c2e0500e3b0,0,0,0,train,train,0
singleton_0052,singleton,RLVS,NonViolence/NV_146.mp4,b5dfc327a53fcf8151f822608a1fda6f41a7c3b4f427998a9c4893b601ce0229,0,0,0,train,train,0
singleton_0053,singleton,RLVS,NonViolence/NV_147.mp4,73742bab7ea651ae5260096b1bcba9d60768e7b21d128e999c54cbcac68c89af,0,0,0,train,train,0
singleton_0054,singleton,RLVS,NonViolence/NV_148.mp4,8a4d8eebd05fe2f4f1f549f6861b9f0e1f02014d0db7fc7b7066fb76c8a230c6,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_149.mp4,7522fad279e5a57c0fce3a30a94de281312a7fc61b5e57c4d81719a1d32b17cf,0,0,0,train,train,0
singleton_0055,singleton,RLVS,NonViolence/NV_15.mp4,afa41beee1177a7716b4ba98ae3084381a9f431885e1aed4ed42168d1bdd8c90,0,0,0,train,train,0
singleton_0056,singleton,RLVS,NonViolence/NV_150.mp4,45d1e9f377ceba7bed5fce17a4d062ab7f95b680d07f1a9d2b1fdaa110378999,0,0,0,train,train,0
singleton_0057,singleton,RLVS,NonViolence/NV_151.mp4,d8903fd9c54b5b9caaf958a0365b62be6fccd60fe182c5853ab6b60b0e8ab84b,0,0,0,train,train,0
singleton_0058,singleton,RLVS,NonViolence/NV_152.mp4,601b05df439a6200a38afd4b1de480af0a17de0e907494d7effca49d62a6912c,0,0,0,test,test,0
singleton_0059,singleton,RLVS,NonViolence/NV_153.mp4,951c95cc8d15284d280872dec5ab6f33b4288224be3e297be75866fd57e5f578,0,0,0,train,train,0
cluster_0104,perceptual_near_duplicate,RLVS,NonViolence/NV_154.mp4,92fec964d679af176979200107652940b09b4824227ee510d98dd938b871468c,0,0,0,test,test,0
cluster_0104,perceptual_near_duplicate,RLVS,NonViolence/NV_155.mp4,27c9e89eff53352f855c11564e01207c443881594c7d662f9f66cc892d911b3f,0,0,0,train,test,1
singleton_0060,singleton,RLVS,NonViolence/NV_156.mp4,ae763fa88e70a3a24915596c7a1ffeb7fc4bf0a9ef48ad12bff92ae86138c410,0,0,0,test,test,0
singleton_0061,singleton,RLVS,NonViolence/NV_157.mp4,99dff2c83fd06b43ac44739760f2331fbcda3b56b8b2fe65a300a13686966c4c,0,0,0,train,train,0
cluster_0105,perceptual_near_duplicate,RLVS,NonViolence/NV_158.mp4,ade2b4e8806af6d76e7fe1c7843f5f0441a5e6bf0a6499f1dcfe3dd3eaf28d35,0,0,0,test,train,1
singleton_0062,singleton,RLVS,NonViolence/NV_159.mp4,407430966f1d50195badb13e03aacdd6769f0d94122b35d7934e4f48a6376859,0,0,0,train,train,0
singleton_0063,singleton,RLVS,NonViolence/NV_16.mp4,b97497d1aeb51fd87da5cccd5678120b694582e80ca255e34a5eadc249da69bf,0,0,0,train,train,0
singleton_0064,singleton,RLVS,NonViolence/NV_160.mp4,2d512a2b3ebf7716dfdfc25715cf97baea09e2467691f5b23e7ebd451b66a93e,0,0,0,train,train,0
singleton_0065,singleton,RLVS,NonViolence/NV_161.mp4,1e54e59e767d2b771b586e6bf97c3395e385e3008631908acf24cc398f423aff,0,0,0,test,test,0
singleton_0066,singleton,RLVS,NonViolence/NV_162.mp4,af30d599a669f8b08615dbfad88e21dda4a47acba4bb1b7ea70299aa860b0636,0,0,0,train,train,0
singleton_0067,singleton,RLVS,NonViolence/NV_163.mp4,e924843ec4b9bd4f32195fba31f4bcd59c2f6149d2bddee64d1a75d4de8cac00,0,0,0,train,train,0
singleton_0068,singleton,RLVS,NonViolence/NV_164.mp4,6a63ea2f9e27debc69bc98c2d3c19a743bd43fa1a3e802ac9487a0962703235f,0,0,0,train,train,0
singleton_0069,singleton,RLVS,NonViolence/NV_165.mp4,4f1f004d8736f14a4873d2ae7d278a9feee2f11ff1c68f52fd08248a4d3f1346,0,0,0,validation,validation,0
cluster_0105,perceptual_near_duplicate,RLVS,NonViolence/NV_166.mp4,c81c3e9f00d6c1af9a12fe224c905a7858c3e06b5b448c62cd7bce6c107c4bf4,0,0,0,train,train,0
singleton_0070,singleton,RLVS,NonViolence/NV_167.mp4,4e51a05f7af821463587ad97f8a651bc3779d352da1985af51a6ae0fbc2a3330,0,0,0,test,test,0
singleton_0071,singleton,RLVS,NonViolence/NV_168.mp4,11abaf97eaec1d1fbf5c569e02d24bfa9f414769df9446322a3fed5dc0f07fd1,0,0,0,train,train,0
singleton_0072,singleton,RLVS,NonViolence/NV_169.mp4,fc8d6f8cf61c0bd1714049c6a2e8fe8979133027483e8566c453a72173fffca5,0,0,0,train,train,0
singleton_0073,singleton,RLVS,NonViolence/NV_17.mp4,d210c96586c40d0264c3f947cd0b31e9c2e1f517933cb52fd4ee8d3f4ae77576,0,0,0,train,train,0
singleton_0074,singleton,RLVS,NonViolence/NV_170.mp4,0a8ab35b867e065fd68d2284c833a8545294fdee498fdf4abc4c699f835e7cc0,0,0,0,train,train,0
singleton_0075,singleton,RLVS,NonViolence/NV_171.mp4,f775639394860a0167f38225b8ccc6484c99f283a016d340191b37dee369ce1e,0,0,0,train,train,0
singleton_0076,singleton,RLVS,NonViolence/NV_172.mp4,874a6a1aa2c9f768864bfae14ad83327a7c7c3ecbdf7c078281275fb86354763,0,0,0,test,test,0
singleton_0077,singleton,RLVS,NonViolence/NV_173.mp4,ccff25cb52748b8344d2463228d3472d76a5145d575aa7956e26206712b1c0a1,0,0,0,train,train,0
singleton_0078,singleton,RLVS,NonViolence/NV_174.mp4,f57f8eb26ffd785b8d4f55a1943a54ce4c8707feee256037a92fbf12568ec030,0,0,0,train,train,0
singleton_0079,singleton,RLVS,NonViolence/NV_175.mp4,0a592b9583210b0432eb7b32e2943e295daefc7c5df8857d8baba96f09fe6b4c,0,0,0,train,train,0
singleton_0080,singleton,RLVS,NonViolence/NV_176.mp4,fbfdf01fa2907951409f92da2effa9edb25cc7f85de07a57271a7753e34484d3,0,0,0,train,train,0
singleton_0081,singleton,RLVS,NonViolence/NV_177.mp4,2207b49d37eafef898ae4664bc6a0da9ebb34cb836eeeb60ffb06c28244fe703,0,0,0,test,test,0
singleton_0082,singleton,RLVS,NonViolence/NV_178.mp4,bfc309d96a895c0eee8bf263d27c0f3cba48ad33185bbce24ea52502a1734ae4,0,0,0,train,train,0
singleton_0083,singleton,RLVS,NonViolence/NV_179.mp4,992450acad6486cd7efa395745aa2abe7c0845eb6207f8d7ae4e7b32fa7a4d86,0,0,0,train,train,0
exact_sha_group_0001,exact_sha256,RLVS,NonViolence/NV_18.mp4,0768f2ee60addd51eff1ada83d25b989d37a73bda938ece83e0f183ddf45f759,0,0,0,train,train,0
singleton_0084,singleton,RLVS,NonViolence/NV_180.mp4,7d06b39e910252f0097200a059ea71babeb52680e3d4ca6c12eafff6e3a35d53,0,0,0,train,train,0
singleton_0085,singleton,RLVS,NonViolence/NV_181.mp4,2d9489d279f5acafddcf86ff89aab5b2bc76bf93c6a1636eaa7c962ed89af550,0,0,0,validation,validation,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_182.mp4,0b826e04f0d9e5df3a48a1d5028595b0d9abe587db2154418e05cbe78d7db684,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_183.mp4,d8c1535a73d8a5670b8cfbfcf79b22398f84c04d9c8920e7f3457d7c38ad7836,0,0,0,validation,train,1
singleton_0086,singleton,RLVS,NonViolence/NV_184.mp4,7f5a01bed2a6f195126bca689b64cbaf13b1e4329ce00d9e8ee84286f409c423,0,0,0,test,test,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_185.mp4,0053630f06a0e57dbbe4d6fcccabff8dfeec7fa0b2e7eaa04b361637625bce8a,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_186.mp4,50e8fd5e01fea4c1414292df7e8f501bafda24d02ebb62a9466c829143706966,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_187.mp4,b338440706c2b38a5a9c50c3d010a55eaeaf1e254bb5941bb6a590608ac7d6dd,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_188.mp4,fb9cbc032df6aab02f32f7808d6c6a288c304f4336bce7c6ffa4a6e7fd89856c,0,0,0,train,train,0
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_189.mp4,5962b889b9357f871f6f0dfff4a7a9899076a770cc1d111ffebc6e4764378643,0,0,0,test,train,1
exact_sha_group_0001,exact_sha256,RLVS,NonViolence/NV_19.mp4,0768f2ee60addd51eff1ada83d25b989d37a73bda938ece83e0f183ddf45f759,0,0,0,train,train,0
singleton_0087,singleton,RLVS,NonViolence/NV_190.mp4,538d953daa13cde0917d11e479eaad287b31fb348542ec60a54bea33dc42cd55,0,0,0,train,train,0
cluster_0106,perceptual_near_duplicate,RLVS,NonViolence/NV_191.mp4,fe4a912045c676b97ff55058d124eed297a2537f0b7e39ca9ef8c529847f5ddd,0,0,0,test,test,0
singleton_0088,singleton,RLVS,NonViolence/NV_192.mp4,2cb2c24e86aa121aef51781e8fc99101c24cbe881eafbf3ed5001400831d94bb,0,0,0,test,test,0
singleton_0089,singleton,RLVS,NonViolence/NV_193.mp4,eb4f4e903bdcebe2397b4d754ff3c56619293459c759cea79a2188d6fe001d62,0,0,0,train,train,0
singleton_0090,singleton,RLVS,NonViolence/NV_194.mp4,0aca1441d4e3c8b37020ef6fc8f68223bc8ac82449afbc6a9ef2ea0c221f65c4,0,0,0,train,train,0
singleton_0091,singleton,RLVS,NonViolence/NV_195.mp4,5aded0714912f69d013a9c398308c9bb65fb48ee14f77289197e8e82e941a5e1,0,0,0,train,train,0
singleton_0092,singleton,RLVS,NonViolence/NV_196.mp4,3f23b89449b6a57237849d118972176dac1ff9da6115bff879289bd81fe477d7,0,0,0,train,train,0
cluster_0106,perceptual_near_duplicate,RLVS,NonViolence/NV_197.mp4,355cf2ef06ce95d5af8dc5c3fa48a2976ab9b04642e8947b02d01e817891e0d8,0,0,0,train,test,1
singleton_0093,singleton,RLVS,NonViolence/NV_198.mp4,64dc94edc791c17642442e70d43dcd9b907407db9cde6ae019a4b4d0db9e4950,0,0,0,validation,validation,0
singleton_0094,singleton,RLVS,NonViolence/NV_199.mp4,27f30788428ebb88d1cfeafc665172f3f78ef3e55dc7be5d58de91b01a196ed0,0,0,0,test,test,0
singleton_0095,singleton,RLVS,NonViolence/NV_2.mp4,8e9b624eb8820ad3aac5341f891f98e63e12d88e65f0fd6486162e18f800f7a6,0,0,0,train,train,0
singleton_0096,singleton,RLVS,NonViolence/NV_200.mp4,22350850d1a25b5ec8c4ed57ec29932c78fe5959c4ca30b4ee2d053f827683bc,0,0,0,train,train,0
singleton_0097,singleton,RLVS,NonViolence/NV_201.mp4,241d65e2d9604d54ded3da71ffad2a109b30ad35c381aec5a019644c94374d77,0,0,0,validation,validation,0
singleton_0098,singleton,RLVS,NonViolence/NV_202.mp4,eee9455f97c602195d4ac88bf04308430d5b62a48b7fd6d06192ee9c30ce4464,0,0,0,train,train,0
singleton_0099,singleton,RLVS,NonViolence/NV_203.mp4,fb5386d294622cf99b542dadb7794a76b672858ce21bed1229c4463987939783,0,0,0,train,train,0
singleton_0100,singleton,RLVS,NonViolence/NV_204.mp4,c73905b9ec5699b89646c21d87366f8e80565ea4c950ed6f9cedcd4ea9392706,0,0,0,train,train,0
singleton_0101,singleton,RLVS,NonViolence/NV_205.mp4,38f874dfb19423b338427759cca58f41967ddf8ab551226f2f02bac3f84ede6b,0,0,0,train,train,0
singleton_0102,singleton,RLVS,NonViolence/NV_206.mp4,c53af12bf8b5123a2d4c247c7a70c0d5e75b093697f4517175ed484cae388ed7,0,0,0,train,train,0
