scene_group_id,group_origin,dataset,relative_path,sha256,label,original_label,label_corrected,previous_split,new_split,split_changed
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_103.mp4,fe91c812adf91eb8ee366f347ec096f737b9ec39711a45041c0961b89fa7ccbf,0,0,0,test,train,1
cluster_0104,perceptual_near_duplicate,RLVS,NonViolence/NV_155.mp4,27c9e89eff53352f855c11564e01207c443881594c7d662f9f66cc892d911b3f,0,0,0,train,test,1
cluster_0105,perceptual_near_duplicate,RLVS,NonViolence/NV_158.mp4,ade2b4e8806af6d76e7fe1c7843f5f0441a5e6bf0a6499f1dcfe3dd3eaf28d35,0,0,0,test,train,1
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_183.mp4,d8c1535a73d8a5670b8cfbfcf79b22398f84c04d9c8920e7f3457d7c38ad7836,0,0,0,validation,train,1
cluster_0003,perceptual_near_duplicate,RLVS,NonViolence/NV_189.mp4,5962b889b9357f871f6f0dfff4a7a9899076a770cc1d111ffebc6e4764378643,0,0,0,test,train,1
cluster_0106,perceptual_near_duplicate,RLVS,NonViolence/NV_197.mp4,355cf2ef06ce95d5af8dc5c3fa48a2976ab9b04642e8947b02d01e817891e0d8,0,0,0,train,test,1
cluster_0107,perceptual_near_duplicate,RLVS,NonViolence/NV_218.mp4,5ef606a8de514e556ae01832c0c76cb885eab135227f3bd875434782b3a8bd4c,0,0,0,train,test,1
cluster_0108,perceptual_near_duplicate,RLVS,NonViolence/NV_225.mp4,69d720bdfd19fb042b3dfe678887a00b2d50b06eaca11c9d2bea51c798bb29cf,0,0,0,train,test,1
cluster_0109,perceptual_near_duplicate,RLVS,NonViolence/NV_234.mp4,1742a20062dfd9c075a1dc86a0f0fd32429a369e81470affa8e4c4169ae756f3,0,0,0,train,test,1
cluster_0153,perceptual_near_duplicate,RLVS,NonViolence/NV_247.mp4,9920b51a4a6fd04d7da560ecc9568a6a995c90d4dce6ecd4b8799931340bbbeb,0,0,0,train,validation,1
cluster_0043,perceptual_near_duplicate,RLVS,NonViolence/NV_248.mp4,1e097ff193cdb91e016243b778ea414511c82a2555001d1628d85ba7baec43d3,0,0,0,test,train,1
