split,manifest_row_id,source_group,dataset,label,relative_path,video_sha256,source_id,width,height,fps,frame_count,duration_seconds,sample_frame_indices,phash_crop_0,phash_crop_10,phash_crop_20,decode_status
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/basketball_v2_06_8kqd4q1mIR4.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/basketball_v2_06_8kqd4q1mIR4.mp4,f351208ee5f55da9613a15e1a289d9860c325ef3543d316f9dea418b42510804,8kqd4q1mIR4,640,360,24.000000,236,9.833333,12;38;65;91;117;144;170;197;223,0dc9e26a3a9d0e72;4dc9ea623a9d0c72;0dcce2723abd0c56;0cee66623ab90c76;09cbc2723abd0d74;09cbe2723a9d0c76;0dc9e2723a9d0c76;25e3e2d9199c0c76;0dc9e2f23ab90c72,09cbe2703b881c7f;09cbe2707b881c6f;09cbe67052ab0c6f;4fcee46472980c3e;4bcbc4f1738a08ea;4bcbe47073880c6f;0bcbe67033881c7b;2be2e6f119880c6f;0bcbe4f0728a0c3f,4bc1e47571cc4e2a;49c1e4757198ce27;0ac3e57d71b8cc24;4acae46575994c2d;5acae4617191f98c;4bcae57171985c2c;4bcbe461719c5d24;42e6e471d199dc07;4bcae4617199dc0d,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/basketball_v2_07_WMG94RSTLxo.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/basketball_v2_07_WMG94RSTLxo.mp4,cfd285b36f7c1a217ac7d947264f45ae36ec4639c5975420616b3094abfb52fc,WMG94RSTLxo,640,360,30.000000,705,23.500000,35;114;194;273;352;431;510;590;669,633c7c039d6bb10c;63387c079d6bb10c;63397d439c6ba10c;63387c479c6ba50c;673878479c6aa38c;633c5c639c6ab11c;633c7e039d6bb108;633c5c639c6bb114;613c7c639c6a6195,603c7d819e60b86f;603c7583de609e47;623c7d809f62b847;603c7d009f62b86f;623c7d039e61b82e;603c7da18e62b86b;603c75a18e70bc67;603c7f208e63b86e;723c7c638e42b8b8,700e698340bebb2f;731e618240bfbd29;731c608c41bfbeb0;711c638e40f7b495;611c7b8640f1be96;700e799b40f497b8;700f788740b4bf2e;708f618f44d097bc;709e69a941609ff1,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/basketball_v2_08_0CReVRH-3D4.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/basketball_v2_08_0CReVRH-3D4.mp4,dca52019781f6798471eb8b1c9d4626da65a95ce60de1729c99d89f8af3b85b8,0CReVRH-3D4,640,360,30.000000,900,30.000000,45;146;247;348;449;551;652;753;854,15dbdaa19216b64a;1bc1ccbc7c8c63c4;3698cea33667f300;1b80a6a7f05b7d21;178ab092e8fc6a63;178ab092e87d6a69;178eb0b2686d6a65;178eb0b2686d6a65;178eb0b0686d6b65,21d1c6ba92b29793;11c1c53f1e3ee8d0;349dcc991c633267;1a9ca7a4b4d53938;028fb595a99d54a3;068fb495ad9c5623;0786b495ad9c5663;078ab494bd9c5a63;078ab094bddc6a63,29c944dd5d6e5470;11f0e0870f0ffcf0;2d85dc9cc99c8371;149ee1a5e78183ea;0542b4b4ba9cb5ad;0543b4b4ba9cb5a5;0543b6b4b89cb4ad;044bb6b4a89db4ad;024bb4b4a99db4ad,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/basketball_v2_09_ppy0BSfeF3Q.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/basketball_v2_09_ppy0BSfeF3Q.mp4,41630f6009a5d2768ba60073b5132e5fcc373bacea8e796f8069590eeed2439b,ppy0BSfeF3Q,640,360,29.970030,334,11.144467,17;54;92;129;166;204;241;279;316,1495a8cb732f2c9c;1485abcb732e2c9c;1482abcbdb3d2c86;12a2a9f15d2c8e9e;02a2a5d57d0f83ce;01a7e4dc7c0999cb;14b6e3412e8e9cec;10b8b65e27858ee6;1faab0783092afb1,058db9d2f2622e8d;158db9d2f262268d;15a5b1f2d2392d25;15b5eaf27a2a2505;06a2ecfd7d3810c6;03a3e4e47c3c38d3;16b0f371630726ce;10b8b7773199b0e1;4082b57f334cbdb0,0f8b8bd4f0743427;0f8b89d0f4747427;23abaef4d0d07131;21a9a8f2ded236a1;34a4e1e35b3b38b0;13b3e0e04c0c1fbf;06aefcf858304a97;14ac87676317e0d9;44a0cd3b354fb0e6,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/basketball_v2_10_UbQoV8SDcOk.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/basketball_v2_10_UbQoV8SDcOk.mp4,330dccce02b5fceeff573d446a07de2b7e2ef1b0b78e5c96c53cac7e265d9c73,UbQoV8SDcOk,640,360,25.000000,439,17.560000,22;71;120;170;219;268;318;367;416,52c9a5b11ee7341a;5cc981953ec62e3c;59c9958127f63e28;59c984952fe6362a;4ac985856ee5372a;43c9bc8172bea632;5ac9858136f52f2a;4b94a18136f52f2e;79cc85917634267a,57dca8b956e00c33;5fde88a952c02da9;5bde9989aaa105aa;5fdea88902e02fa9;5fdea98952a12728;53de8de0528d3e30;57dea98956e90622;5ad5e98815f12d2a;78c7a98954a96fa0,53c4f899d7e80a98;5147f819f7c60899;5345a81bf7885b89;5147bc19d7a61989;4247b919dfb94889;500789fedf881a99;57479811ffda0099;55a7d80d97ba08d4;1cc78bdd9d124899,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/boxe_v2_01_8BPs176rYWw.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/boxe_v2_01_8BPs176rYWw.mp4,77121d3f356eee336664e2e1ae97388c176a66fc10385bde9ae584857ef2c061,8BPs176rYWw,640,338,30.000000,1685,56.166667,84;274;463;653;842;1031;1221;1410;1600,40e727c1d8c7c738;439c2eb1c7c13c87;475c6c87d908ce33;134c6c93d6cc2877;1c73698cc699ba64;08676799ccc62f31;431c3cc3f9ce2631;471878c7e9cc3433;471c31c7cccc3366,482727d83cc1633f;410e3c39e3dc1ee1;435c6e8358cece31;134c6d93c3dc7429;0c73798466993765;1c676798c0c63bf0;411e3ee1b8c72e98;471c38a75ace38c3;471c30e3ccd83bc6,5e21611d0fe039cf;71470e11f00fe0fe;510c67b33cc638c7;134c4836d394799f;0c735b66cc94668d;1c632318eec379c6;700f07389ce32fca;431c2ca2d5ce78e3;430c38e3ce98cdd6,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/boxe_v2_02_Ag_pn2P8BPI.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/boxe_v2_02_Ag_pn2P8BPI.mp4,eb2e4cb1cf1783bbc5fa05d59798cb2b4aaabf0005c0c5b7af2e3b3e5d03e457,Ag_pn2P8BPI,640,338,30.000000,422,14.066667,21;68;116;163;210;258;305;353;400,17b18c38b18e699e;15a389bcb68c6936;04a33133ce9e79a5;14b3e1ccb2966e49;119b34e0cdd9b2b2;109793c1d193b3b3;128f3db0e3c33626;438f3839b82467e6;438f30743e91cbc6,02b0cf3996f26987;34b2c83fb5c86a25;06a03171869e6bef;0cb2e9ccb1b6720d;18923f6449c967b6;348bc1e1c4c5d9d9;54811bbfd3d0918b;5283b6199d1df309;4383346c3e9a89cf,36b8cb39873aca09;2cb7dc22a5dd7208;06863a798c3cdace;0c315a4eb8a7b5cc;1f942426dac9cb1b;2f9210fec7a10cbc;35d80a0323bff9e0;50c0e6bb1b1eb692;52c1796c273e2666,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/boxe_v2_03_XBQeqirAPzM.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/boxe_v2_03_XBQeqirAPzM.mp4,55b7b33d5cd02cb16f93cdbbaf91601e1dcd18c162854d4ee07a7d8054408666,XBQeqirAPzM,640,360,25.000000,171,6.840000,8;28;47;66;85;104;123;142;162,48e23727283c1ecf;48ea373328301fcf;48ea333329341ecf;48e8373329383d8f;48e877372931341f;48e877372b31341d;48d877372b21351d;58d8f7372b21301b;58d8f7370f232033,5df631213b3618cc;5dfe31017b333098;5fff30303b333018;5ffe20217b333019;5fde210173333319;5fde700143733319;5fde642143633319;5cdee42141f26633;5cdee421c1d26633,4fc764da73311823;4bc76cdee3261803;4bc77cdfc3201c03;4bc76cdcc3663824;4fc7e4c8cb663038;4bc7e4cccae17038;4bc7e488cae370b8;5fcfa5088ac76330;5fcfad2088c66790,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/boxe_v2_04_WeyqNKZfHLM.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/boxe_v2_04_WeyqNKZfHLM.mp4,218e370b5c45dc9151b8a62c49eda54ab6b70dae8c0ef38a4cedfa50f6a8040f,WeyqNKZfHLM,640,360,25.000000,270,10.800000,13;44;74;104;134;165;195;225;256,4ccc3333c6ce7231;48af3f70e10f0ee0;4fbc3043da78478c;4c38338f6639cd26;45b83c47e33c4e61;47b8384733bc4647;4f38344738cc31cf;4cf21933c79833cc;19e61936c3cb3c19,4ccc3033c7c63733;788e06f9f1011f74;43be3cc11d71471c;4e3a31c776194547;493e3ec1711e8770;473c3cc3399c31c6;47384e338d3534c7;4ef61833cf3039a4;0bec1926d3e49d34,4ecc3c39c9c52636;5fc60678f809037e;410f3ef019f1073e;4f3e38c3371842d3;401e07f178878fe5;431e4e711f392ce1;431e6453c33ee0c7;478d3c71c3173878;46cd1e33e1e01c1f,complete
hard_negative,hard_negative|hard_negative_v2|test_sport_v2/boxe_v2_05_sJyJwc7ADyM.mp4,hard_negative_v2,hard_negative_v2,0,test_sport_v2/boxe_v2_05_sJyJwc7ADyM.mp4,b4d6ac22aa97c77cdfcf095b38c3a241d2e404e3a51fcb4339d161714e4e6ecd,sJyJwc7ADyM,640,360,25.000000,142,5.680000,7;23;39;55;70;86;102;118;134,474e2919737043e7;471c3190d7c34fc6;1f386381dec063c7;1c7363819cc84be7;4c1b62a2ecc54edc;4f3c7282cf88744b;0f7161a2cfc06c6d;4f749ab1c362e548;4f6c3220e345c7ce,44460f3b353ef530;450f3b3cb0a2c7e1;073c63aa8d3cf223;0c316ab38d95f827;0f197031ef2784a7;493f7095caacb921;0f3b70b68696cc29;4b24bab0d227e317;074db13cb229f703,66c55cd2a9826b87;45413a2f3d17749a;073e70c38b9d5436;0f3d707287984d35;0b1a3c39327943bb;490e3ee1c68e7d18;031b7c6831b723cb;4b452d9f16f86491;404b3f961dee3894,complete
