split,manifest_row_id,source_group,dataset,label,relative_path,video_sha256,source_id,width,height,fps,frame_count,duration_seconds,sample_frame_indices,phash_crop_0,phash_crop_10,phash_crop_20,decode_status
train,train|RWF-2000|train/NonFight/rwf_train_nonfight_0240.avi,principal_train_grouped_clean,RWF-2000,0,train/NonFight/rwf_train_nonfight_0240.avi,5b525968ec35868ab8f58ca39e8e70a0ec16b481bb137bd58bd0a7a7a563d939,,320,240,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,491e72c035ef1b32;4b1c76e019df1c31;0b1e73e0149f1e39;0b0e74e1149f1f39;0b0674e1149f3f39;0b0e75e014bf2e39;0b0e75e014bf2e39;0b0e75e014bf1e39;0b0e75e014bf1e39,490e76f9a1ca5236;4a0c736cf2c69563;4a0c736ef0c79562;4b067972b4c56672;4b067873b4c46772;4a0f7962b4c76472;4a07796ab4c3c572;4a06736af4c78572;4a06736af4c38576,4a075539e8cad4e3;4e0d267855cce16b;4609537cf58ad067;520d5b7699cec2c1;520d5b729dcac6c1;520f735c99cac463;460d735cb5cae047;520d535cb5cac867;520d527cbdc2d067,complete
train,train|RWF-2000|val/Fight/rwf_val_fight_0086.avi,principal_train_grouped_clean,RWF-2000,1,val/Fight/rwf_val_fight_0086.avi,a956cf85a8bed6aa6eceb91376941e3d1a75169b732c1d95cca0af4978f306b7,,406,720,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,4adad1393c6623a5;4ad2f11d2c372365;4ac2f11d7c262769;4ac2f11d7c662761;4ac2f11d3c6627a5;4ad2f11d3c2667a1;4ad2f13d3c2627a1;4ad2f11d3e262565;4ad2f13d3c2627a1,56d6f0198e2766e0;56d6d1984e1f2364;56d6f1985e276460;56d6f1984f2724e0;56d6f0989f0764e0;56d6f0989f2760e0;46d6b0989f2765e0;56d6b1189f3760e0;56d6b0989f2761e0,55c7f09a8c1731e8;45f5b09c8e939668;47f5b8989e8b0670;47f5b898da0606f1;47f5f098961706f0;47f5f0989a170672;47f5b098961d0bf0;47f5b8d896170a70;47f5f0989e1342f0,complete
train,train|RWF-2000|train/Fight/rwf_train_fight_0324.avi,principal_train_grouped_clean,RWF-2000,1,train/Fight/rwf_train_fight_0324.avi,13826df8b0aebfba23c35782ed2ba09c50e455f80fb0047787c711811702c084,,1280,720,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,1c3939bee1901f23;1c3939b2e1921f33;1c3939b6e0921f33;1c393992e1f00f37;1c3939f0e7f00837;0c3939f2c3967817;0c3939f2e3927817;0c3939b2e3f0093f;1c393996e1f00f17,0f1818bfe09f6319;0d1818bff1df6019;0c1918bff3df2019;0d183883f7ff0e11;0d1838fbe1ff2610;0c183df3e0df7e00;0d1838fbe1fc700b;0d1838bbe3f8601f;0f18388ff3fc0319,051c1f20ffc3f807;041c1c78f3e3fe03;041c1e39f1e7ff00;041c1c31ffe3df02;041c1c39ffe3cf02;041c1c3bfbe3cf02;041c1c39fff78f00;001c1f38f3ff8f02;001c1e00ffff017f,complete
train,train|RLVS|NonViolence/NV_332.mp4,principal_train_grouped_clean,RLVS,0,NonViolence/NV_332.mp4,a259953c7608bc9fbecad1e7666fd06682f8f67a7bc2be475728e2e39857920b,,224,224,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,59c95f6a3616124b;53636a3e14cc0f65;7d7f3208c8e1b03a;63b90f2151e8ad6c;619d057178e4b656;709e605e4f575249;5f8f731f4550680c;5f615901711c6d97;59681c615d2d25b7,4bcb4a6a2eb43456;71716a3715ce0a66;4d453705c9eae23a;669707a352923b5a;739960b85aad2c4d;7c8c741f07a56652;5fe31703e1105ad9;57f11e60505a4f8e;515d48701f4b0f2f,52d2d34b436262b7;71f1783a3b991948;487c268989e9e67a;649d4921f7a76462;36c2e035d1186b7d;1ec13c58ca2966cf;4bef1f4ba036c184;41b141e0b679d697;719568b41f58913e,complete
train,train|RLVS|Violence/V_404.mp4,principal_train_grouped_clean,RLVS,1,Violence/V_404.mp4,72ca31e0b76a18512920f83fa02954e18563a043d163fce6be0618c399a85c4c,,360,360,29.929000,126,4.209964,6;20;34;48;62;77;91;105;119,2738d9cb4631b433;2729daca4233bd34;2749d0d25725a96e;300bd6f471618b7c;3f03c47c51618e67;3c4695b9c727036c;1e62d53dc12a0fe4;3a4e95b1c62f0e68;3a4ed531c12f4e68,231e99cc42dbb32c;20099fde56f3a1a8;2708dcd266b9a9aa;3802879f79e2a8f8;3b52e49f70a881e3;1c46bdb9e601c32e;1c44bf99f018c36e;3b44beb3d122c463;3c4d32fbc027a4ca,27249bcc5ed134a5;2f299ac446133de6;20089dc7573b3be2;3f50c00b01e3f1fb;107786057f1cf18d;0c67189f7eb026b8;0c6708d23fb9609f;334c1efb721e6881;2f4837fcdb304e80,complete
train,train|RLVS|NonViolence/NV_231.mp4,principal_train_grouped_clean,RLVS,0,NonViolence/NV_231.mp4,c81545d4e2a0fb6518a58c6927a7d5981e039ce64ada0d2fb766e9d48254692a,,224,224,25.000000,125,5.000000,6;20;34;48;62;76;90;104;118,1c31d6dec037d816;1e31dedfc0375006;1d31dedec127d006;1d31dadec027da06;1a31f3dcc0a366aa;1835e19d5dd10f54;1a35239f1ed10b53;1a35219d1ed18f56;15ff711860b36c86,1d3996dae11486c7;1f31d6dae92086c5;1d31d7dae910e4c4;1d3197dee231e884;1f31bb9cf2017a88;1f25e01d94da85d6;1f24610f15fa87f0;1e25610f1dfa87c1;06ea3b1ee6592833,0b3997d5591ce154;1b3987d5581ce554;0a3b87d5d01ce565;0b3a83d5c11cf3e1;0f382b8dd3231e8e;0768780bbf1bf901;172c780b3d07bb38;1724700a3e1ebbf8;05d33946f65e8613,complete
train,train|RWF-2000|train/NonFight/rwf_train_nonfight_0356.avi,principal_train_grouped_clean,RWF-2000,0,train/NonFight/rwf_train_nonfight_0356.avi,2d5b08c6296f2d41d08282dff0f34f1abcdd1fd32cc043ac7f1664fcaed9dd60,,640,360,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,5069676461361f97;5069676461361f97;5069676461361f97;5069676461361f97;5069676461361f97;503b276461361f9e;507b276461361f96;406b0f6465343f9b;506b0f6464343f9b,503a66ece03c3d27;503a66ece07c2d27;503a66ec607c3d27;503a66ec607c3d27;503a66ece03c3d27;543b66ec60343727;543b46ec68393627;543b02e4686d3f27;543b4bec606c2d27,331a45c3fb5d180d;331a45c3fb5d180d;331a45c3fb5d180d;331a45c3fb5d180d;131a05c3ff7d180d;151307cfed7d0a0c;151207c7eb7d2e0c;1d1297c6e97d090e;151293c6fe7d290c,complete
train,train|RLVS|NonViolence/NV_383.mp4,principal_train_grouped_clean,RLVS,0,NonViolence/NV_383.mp4,8f79d2b8955a13007d277dcd6123860b42996739f11a0d8de63dba006790cef2,,224,224,11.000000,55,5.000000,3;9;15;21;27;33;39;45;51,4438ccc199cd636f;4038ccc1b9c9e36f;4038ccc1b9c9e36f;4038ccc1b9c9e36f;4038c5c1b9c9e36f;4038c5c1b9c8e77b;4038cdc1b9c9e379;4038cdc199c8e77b;4038c5c1b9c9e73b,453ec4f09dc470ce;543ec4c09cd963ce;543ec4c09cd8e3ce;543eccc098d8e3ce;543cc6e398c8e1ce;543cc7e398c8e1cc;543cc7c19cc4e3cc;543cc7c198cce3cc;543cc7c198c8e3ce,0905e4bc8dbf38c3;0b2ce4e49dbb3047;0d3ce4e29db87047;0f3cc4e29cb87147;0d3ce0e29cb859c7;0d1ce2f29cf85887;4d3cc1f09cb17346;4d3cc3f29cb87206;4d2ce0f29cf87886,complete
train,train|RLVS|NonViolence/NV_426.mp4,principal_train_grouped_clean,RLVS,0,NonViolence/NV_426.mp4,b6e970b880715a779c0588b0b91a30602637e33e8a243b41bad1256c3e277462,,224,224,11.000000,55,5.000000,3;9;15;21;27;33;39;45;51,50853db5781ec749;50853d96741fc749;40853db6351fc74c;408435b43d9fc3d9;408437b6361fc33b;408537977697c332;41c59c1c3ccab63b;41c5bc1c1ccbb639;45c5a418bccbb639,54810fb53ca5e12f;50810db53f35e18f;50810db73f97e087;44a425a63f87e18f;54c425ac3787e11f;50c52fc92f83e11e;41e5c81c1dce3d4b;41e1e81c19ce3d5b;41e1e81c1dce3dd8,75d202db0ff9f001;55da8adb07f1f800;57ca8b6b03f1fc00;57ea2c6e03f2ee00;5fea096d07f4ce00;5dec006f0fe08f19;52e3f43cf0e51a14;53e3e43cf0e51a14;52e3f43c90e51a3c,complete
train,train|RWF-2000|train/NonFight/rwf_train_nonfight_0073.avi,principal_train_grouped_clean,RWF-2000,0,train/NonFight/rwf_train_nonfight_0073.avi,c986fb14e1a11b79dbb1f1ab158f37ab99714172c90d21f5de1dd090b6985509,,320,240,30.000000,150,5.000000,7;24;41;58;74;91;108;125;142,25c10c97de3071f3;25c18697de3061f3;25c1869fdc3061f3;25c9849fdc3061f3;25c1889fdc3071f3;25c18c9fdc3070f3;25c18c9fdc3070f3;25c18c9bdc3071f3;25c10f9bdc30f073,2bca01819f3ef8b1;2bca81819f3e78b1;2bcb85819f1e7831;2bcb8181cf9e7831;2bcb8181cf9e7813;2beb8180cf9e7849;2beb8180cf9ef809;2be981808fbe30f9;2be981818fbeb849,6ac168f08107ff9c;6ac528e08107ffcb;6ac131e08187ff4d;6ac1b0e08187ff4d;6ac190e08187ffce;6ac990e08187ff4e;6ac990e08187fece;6ac990e0c187ff8a;6ac910e0c187dfce,complete
