metric,effect,estimate,ci95_lower,ci95_upper,bootstrap_iterations,seed
accuracy,enrichment_within_lstm,0.0016750419,-0.0184254606,0.0217755444,10000,44
accuracy,enrichment_within_gru,-0.0050251256,-0.0268006700,0.0167504188,10000,44
accuracy,architecture_gru_minus_lstm_original,0.0117252931,-0.0083752094,0.0335008375,10000,44
accuracy,architecture_gru_minus_lstm_enriched,0.0050251256,-0.0217755444,0.0318257956,10000,44
accuracy,main_enrichment_average,-0.0016750419,-0.0175879397,0.0142378559,10000,44
accuracy,main_architecture_average,0.0083752094,-0.0100502513,0.0276381910,10000,44
accuracy,interaction,-0.0067001675,-0.0351758794,0.0217755444,10000,44
balanced_accuracy,enrichment_within_lstm,0.0016666667,-0.0185657283,0.0217494754,10000,44
balanced_accuracy,enrichment_within_gru,-0.0052356902,-0.0272237708,0.0163215569,10000,44
balanced_accuracy,architecture_gru_minus_lstm_original,0.0115824916,-0.0087748232,0.0325680657,10000,44
balanced_accuracy,architecture_gru_minus_lstm_enriched,0.0046801347,-0.0215281942,0.0305986254,10000,44
balanced_accuracy,main_enrichment_average,-0.0017845118,-0.0172922643,0.0137886436,10000,44
balanced_accuracy,main_architecture_average,0.0081313131,-0.0100585102,0.0269572789,10000,44
balanced_accuracy,interaction,-0.0069023569,-0.0357414154,0.0215243124,10000,44
precision,enrichment_within_lstm,0.0024635414,-0.0223705588,0.0272780497,10000,44
precision,enrichment_within_gru,0.0247072296,-0.0033620745,0.0530837471,10000,44
precision,architecture_gru_minus_lstm_original,0.0282211602,0.0027718758,0.0549804903,10000,44
precision,architecture_gru_minus_lstm_enriched,0.0504648484,0.0192571412,0.0828216195,10000,44
precision,main_enrichment_average,0.0135853855,-0.0056100737,0.0333218453,10000,44
precision,main_architecture_average,0.0393430043,0.0172159887,0.0627674827,10000,44
precision,interaction,0.0222436882,-0.0128649120,0.0583882423,10000,44
recall,enrichment_within_lstm,0.0000000000,-0.0234120245,0.0232558140,10000,44
recall,enrichment_within_gru,-0.0471380471,-0.0769230769,-0.0194789434,10000,44
recall,architecture_gru_minus_lstm_original,-0.0168350168,-0.0409556314,0.0067114094,10000,44
recall,architecture_gru_minus_lstm_enriched,-0.0639730640,-0.0989761092,-0.0298013245,10000,44
recall,main_enrichment_average,-0.0235690236,-0.0426235535,-0.0049825664,10000,44
recall,main_architecture_average,-0.0404040404,-0.0644081084,-0.0172413793,10000,44
recall,interaction,-0.0471380471,-0.0830564784,-0.0109081028,10000,44
specificity,enrichment_within_lstm,0.0033333333,-0.0302013423,0.0365478959,10000,44
specificity,enrichment_within_gru,0.0366666667,0.0034246575,0.0695364238,10000,44
specificity,architecture_gru_minus_lstm_original,0.0400000000,0.0068259386,0.0741935484,10000,44
specificity,architecture_gru_minus_lstm_enriched,0.0733333333,0.0354832990,0.1126291881,10000,44
specificity,main_enrichment_average,0.0200000000,-0.0034846251,0.0443686007,10000,44
specificity,main_architecture_average,0.0566666667,0.0289374557,0.0858085809,10000,44
specificity,interaction,0.0333333333,-0.0099337748,0.0780141844,10000,44
f1,enrichment_within_lstm,0.0013785123,-0.0174049789,0.0198096271,10000,44
f1,enrichment_within_gru,-0.0103471350,-0.0325482275,0.0112836051,10000,44
f1,architecture_gru_minus_lstm_original,0.0077587408,-0.0111705530,0.0271436659,10000,44
f1,architecture_gru_minus_lstm_enriched,-0.0039669065,-0.0297510370,0.0215461995,10000,44
f1,main_enrichment_average,-0.0044843114,-0.0192381267,0.0104088980,10000,44
f1,main_architecture_average,0.0018959172,-0.0159246105,0.0199669028,10000,44
f1,interaction,-0.0117256474,-0.0396644716,0.0155463165,10000,44
roc_auc,enrichment_within_lstm,0.0061616162,-0.0025482297,0.0150728504,10000,44
roc_auc,enrichment_within_gru,-0.0057239057,-0.0132778451,0.0013034450,10000,44
roc_auc,architecture_gru_minus_lstm_original,0.0015151515,-0.0068247473,0.0101448436,10000,44
roc_auc,architecture_gru_minus_lstm_enriched,-0.0103703704,-0.0209106687,-0.0003373700,10000,44
roc_auc,main_enrichment_average,0.0002188552,-0.0060103871,0.0062432782,10000,44
roc_auc,main_architecture_average,-0.0044276094,-0.0123291384,0.0033560842,10000,44
roc_auc,interaction,-0.0118855219,-0.0228581455,-0.0017505229,10000,44
pr_auc,enrichment_within_lstm,0.0035955286,-0.0053749958,0.0126122769,10000,44
pr_auc,enrichment_within_gru,-0.0050279594,-0.0130723771,0.0028496735,10000,44
pr_auc,architecture_gru_minus_lstm_original,-0.0012063060,-0.0098067827,0.0073711287,10000,44
pr_auc,architecture_gru_minus_lstm_enriched,-0.0098297940,-0.0207669822,0.0005826446,10000,44
pr_auc,main_enrichment_average,-0.0007162154,-0.0071399140,0.0054251107,10000,44
pr_auc,main_architecture_average,-0.0055180500,-0.0133225912,0.0022766393,10000,44
pr_auc,interaction,-0.0086234880,-0.0203969102,0.0026266944,10000,44
