model,dataset,relative_path,video_sha256,theta,k,sequence_scores,detected,alert_score_index_zero_based,alert_frame_one_based,delay_seconds_at_25fps,alert_rolling_score
lstm_original_grouped,RLVS,Violence/V_189.mp4,f2b73002853d4bebf21f114c6d00fb2bab479a73281035c064a7b8072084aa2c,0.7,5,30,1,4,40,1.600000,0.970757067
lstm_augmented_grouped,RLVS,Violence/V_189.mp4,f2b73002853d4bebf21f114c6d00fb2bab479a73281035c064a7b8072084aa2c,0.7,7,30,1,6,50,2.000000,0.944497662
gru_original_grouped,RLVS,Violence/V_189.mp4,f2b73002853d4bebf21f114c6d00fb2bab479a73281035c064a7b8072084aa2c,0.65,5,30,1,4,40,1.600000,0.958355808
gru_augmented_grouped,RLVS,Violence/V_189.mp4,f2b73002853d4bebf21f114c6d00fb2bab479a73281035c064a7b8072084aa2c,0.65,10,30,1,9,65,2.600000,0.927252543
lstm_original_grouped,RLVS,Violence/V_620.mp4,48598fb4395cca8fe934db5e004726521a74c5b5ea19e5fbfe4b32ba184dd968,0.7,5,34,1,4,40,1.600000,0.995843029
lstm_augmented_grouped,RLVS,Violence/V_620.mp4,48598fb4395cca8fe934db5e004726521a74c5b5ea19e5fbfe4b32ba184dd968,0.7,7,34,1,6,50,2.000000,0.992561502
gru_original_grouped,RLVS,Violence/V_620.mp4,48598fb4395cca8fe934db5e004726521a74c5b5ea19e5fbfe4b32ba184dd968,0.65,5,34,1,4,40,1.600000,0.995913339
gru_augmented_grouped,RLVS,Violence/V_620.mp4,48598fb4395cca8fe934db5e004726521a74c5b5ea19e5fbfe4b32ba184dd968,0.65,10,34,1,9,65,2.600000,0.993836915
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0345.avi,b23c2c37da9a8f0a1e21a8e87349d045dc0704ae63f4b0a9cdfa66c9174d1a82,0.7,5,27,1,19,115,4.600000,0.705712545
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0345.avi,b23c2c37da9a8f0a1e21a8e87349d045dc0704ae63f4b0a9cdfa66c9174d1a82,0.7,7,27,1,24,140,5.600000,0.714422754
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0345.avi,b23c2c37da9a8f0a1e21a8e87349d045dc0704ae63f4b0a9cdfa66c9174d1a82,0.65,5,27,1,19,115,4.600000,0.651219141
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0345.avi,b23c2c37da9a8f0a1e21a8e87349d045dc0704ae63f4b0a9cdfa66c9174d1a82,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_568.mp4,4ab99fd176c4ea36a7f856894f3f445408a06c1bae01d6cec5d00c9acdae3cb2,0.7,5,34,1,4,40,1.600000,0.991090739
lstm_augmented_grouped,RLVS,Violence/V_568.mp4,4ab99fd176c4ea36a7f856894f3f445408a06c1bae01d6cec5d00c9acdae3cb2,0.7,7,34,1,6,50,2.000000,0.988396687
gru_original_grouped,RLVS,Violence/V_568.mp4,4ab99fd176c4ea36a7f856894f3f445408a06c1bae01d6cec5d00c9acdae3cb2,0.65,5,34,1,4,40,1.600000,0.995489919
gru_augmented_grouped,RLVS,Violence/V_568.mp4,4ab99fd176c4ea36a7f856894f3f445408a06c1bae01d6cec5d00c9acdae3cb2,0.65,10,34,1,9,65,2.600000,0.994547105
lstm_original_grouped,RLVS,Violence/V_744.mp4,9d03b79987e2c7690ab6376afece4335764f27120efc11ef93c811b3035bda6c,0.7,5,26,1,4,40,1.600000,0.991223538
lstm_augmented_grouped,RLVS,Violence/V_744.mp4,9d03b79987e2c7690ab6376afece4335764f27120efc11ef93c811b3035bda6c,0.7,7,26,1,6,50,2.000000,0.954064335
gru_original_grouped,RLVS,Violence/V_744.mp4,9d03b79987e2c7690ab6376afece4335764f27120efc11ef93c811b3035bda6c,0.65,5,26,1,4,40,1.600000,0.994375944
gru_augmented_grouped,RLVS,Violence/V_744.mp4,9d03b79987e2c7690ab6376afece4335764f27120efc11ef93c811b3035bda6c,0.65,10,26,1,9,65,2.600000,0.983264166
